====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260724 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.41      | ❄️ 空倉          |      +11.17% |     14 |    55.56% | [P:0.42] RSI:35.13|MACD:-0.26|KD_Diff:10.24|BIAS_20:-5.11
00401A.TW    | 主動摩根台灣鑫收   | 12.91      | 🟢 持股           |      +11.09% |      9 |    56.60% | [P:0.68] RSI:38.26|MACD:-0.14|KD_Diff:10.45|BIAS_20:-2.62
00402A.TW    | 主動安聯美國科技   | 9.63       | 🟢 持股           |       +0.00% |      1 |    53.33% | [P:0.51] [⚠️降級預設] RSI:44.79|MACD:-0.06|KD_Diff:1.64|D_Value:38.39
00403A.TW    | 主動統一升級50   | 9.63       | 🟢 持股           |       +6.59% |      3 |    53.66% | [P:0.56] [⚠️降級預設] RSI:31.21|MACD:-0.24|KD_Diff:5.59|D_Value:34.31
00404A.TW    | 主動聯博動能50   | 9.40       | 🟢 持股           |       -0.10% |      3 |    53.33% | [P:0.53] [⚠️降級預設] RSI:32.38|MACD:-0.16|KD_Diff:9.42|D_Value:39.51
00405A.TW    | 主動富邦台灣龍耀   | 7.88       | 🟢 持股           |       +0.00% |      1 |    26.67% | [P:0.54] [⚠️降級預設] RSI:33.33|MACD:-0.35|KD_Diff:6.46|D_Value:35.60
00406A.TW    | 主動中信台灣收益   | 9.20       | 🟢 持股           |       +0.00% |      1 |    40.00% | [P:0.52] [⚠️降級預設] RSI:34.99|MACD:-0.20|KD_Diff:9.33|D_Value:39.26
0050.TW      | 元大台灣50     | 101.70     | ❄️ 空倉          |      +34.74% |     34 |    48.74% | [P:0.42] Vol_Ratio:0.76|BIAS_20:-3.30|MA_Slope:-0.07|BB_Upper:9.13
0052.TW      | 富邦科技       | 59.50      | 🚀 買進           |      +32.87% |     18 |    51.04% | [P:0.51] MACD:-0.34|D_Value:42.29|Vol_Ratio:1.10|BB_Upper:9.81
0056.TW      | 元大高股息      | 50.20      | 🟢 持股           |      +19.16% |     27 |    51.37% | [P:0.53] KD_Diff:4.71|Vol_Ratio:0.44|BB_Upper:8.50|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.92      | 💥 賣出           |      +11.03% |      9 |    51.73% | [P:0.50] [⚠️降級預設] RSI:46.48|MACD:-0.05|KD_Diff:9.47|D_Value:52.78
006201.TWO   | 元大富櫃50     | 41.19      | ❄️ 空倉          |      +66.83% |     42 |    50.12% | [P:0.42] Vol_Ratio:0.91|MA_Slope:-0.50|BB_Upper:22.97|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 183.85     | ❄️ 空倉          |      +29.82% |     44 |    51.13% | [P:0.48] KD_Diff:4.77|D_Value:43.42|Vol_Ratio:1.28|MA_Bull:0.00
006205.TW    | 富邦上証       | 41.26      | 💥 賣出           |       +2.34% |     11 |    51.93% | [P:0.50] [⚠️降級預設] RSI:46.56|MACD:-0.01|KD_Diff:12.53|D_Value:55.14
006208.TW    | 富邦台50      | 233.00     | ❄️ 空倉          |      +34.16% |     18 |    50.12% | [P:0.44] MACD:-1.85|D_Value:40.37|Vol_Ratio:0.64|BIAS_20:-3.85
00631L.TW    | 元大台灣50正2   | 33.50      | 💥 賣出           |      +10.24% |     17 |    50.21% | [P:0.49] KD_Diff:2.88|BIAS_20:-7.89|MA_Slope:-0.24|BB_Upper:21.39
00632R.TW    | 元大台灣50反1   | 10.57      | 💥 賣出           |       +4.08% |      9 |    57.10% | [P:0.44] MACD:0.03|D_Value:58.01|BIAS_20:3.15|MA_Slope:0.06
00633L.TW    | 富邦上証正2     | 50.50      | 🟢 持股           |       +3.99% |     23 |    49.36% | [P:0.56] MACD:-0.37|KD_Diff:10.82|MA_Slope:-0.02|BB_Upper:5.04
00634R.TW    | 富邦上証反1     | 3.08       | ❄️ 空倉          |      -10.97% |     22 |    52.65% | [P:0.34] KD_Diff:-10.79|D_Value:39.88|Vol_Ratio:0.39|MA_Slope:-0.02
00635U.TW    | 期元大S&P黃金   | 41.95      | ❄️ 空倉          |      +31.60% |     28 |    51.74% | [P:0.43] MACD:-0.54|D_Value:49.58|Vol_Ratio:0.86|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 21.05      | 🟢 持股           |       +2.35% |     19 |    49.98% | [P:0.54] MACD:-0.11|KD_Diff:10.52|BIAS_20:1.20|BB_Upper:4.69
00638R.TW    | 元大滬深300反1  | 6.59       | ❄️ 空倉          |       -3.54% |      8 |    53.10% | [P:0.41] RSI:45.45|MACD:0.01|KD_Diff:-11.15|D_Value:34.42
00639.TW     | 富邦深100     | 17.17      | 🟢 持股           |      +12.79% |     13 |    50.00% | [P:0.54] [⚠️降級預設] RSI:38.69|MACD:-0.24|KD_Diff:2.54|D_Value:33.90
00640L.TW    | 富邦日本正2     | 103.65     | ❄️ 空倉          |       +1.46% |     34 |    50.13% | [P:0.41] RSI:42.09|D_Value:58.52|Vol_Ratio:1.00|BIAS_20:-1.11
00641R.TW    | 富邦日本反1     | 3.77       | ❄️ 空倉          |       +2.21% |     32 |    56.21% | [P:0.39] RSI:53.42|KD_Diff:-8.00|BIAS_20:-0.38|MA_Slope:-0.11
00642U.TW    | 期元大S&P石油   | 30.14      | 💥 賣出           |     +113.14% |     43 |    52.87% | [P:0.38] RSI:93.52|D_Value:92.57|Vol_Ratio:2.13|MA_Slope:1.45
00643.TW     | 群益深証中小     | 18.83      | 🟢 持股           |       +9.04% |      7 |    49.48% | [P:0.59] [⚠️降級預設] RSI:31.86|MACD:-0.32|KD_Diff:2.69|D_Value:30.74
00646.TW     | 元大S&P500   | 75.50      | ❄️ 空倉          |      +13.04% |     36 |    49.82% | [P:0.45] KD_Diff:-14.49|D_Value:54.83|BIAS_20:-0.31|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 4.08       | ❄️ 空倉          |       -0.69% |     12 |    57.83% | [P:0.50] MACD:0.00|D_Value:67.36|BIAS_20:1.30|MA_Slope:-0.02
00650L.TW    | 復華香港正2     | 16.67      | ❄️ 空倉          |       +5.62% |     34 |    49.84% | [P:0.29] RSI:66.55|MACD:0.36|MA_Slope:0.96|MA_Bull:10.00
00651R.TW    | 復華香港反1     | 5.32       | 🟢 持股           |      +11.71% |     19 |    53.04% | [P:0.62] RSI:34.04|D_Value:16.87|BIAS_20:-3.39|MA_Slope:-0.49
00653L.TW    | 富邦印度正2     | 45.08      | ❄️ 空倉          |       +7.91% |     42 |    48.90% | [P:0.27] RSI:22.87|KD_Diff:-10.86|Vol_Ratio:0.58|BB_Upper:7.09
00654R.TW    | 富邦印度反1     | 6.88       | ❄️ 空倉          |       +7.26% |     32 |    53.02% | [P:0.38] RSI:70.37|D_Value:74.01|BIAS_20:1.79|MA_Slope:0.05
00655L.TW    | 國泰中國A50正2  | 35.34      | ❄️ 空倉          |      +19.92% |     38 |    50.94% | [P:0.44] RSI:52.97|Vol_Ratio:0.88|MA_Slope:-0.01|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.84       | ❄️ 空倉          |       +3.33% |     12 |    53.93% | [P:0.42] RSI:47.37|D_Value:36.50|MA_Slope:-0.03|BB_Upper:3.98
00657K.TW    | 國泰日經225+U  | 23.38      | 🟢 持股           |      +38.64% |     41 |    49.65% | [P:0.69] RSI:32.36|KD_Diff:1.71|BIAS_20:-5.25|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 45.29      | 🚀 買進           |      +20.36% |     34 |    52.72% | [P:0.55] RSI:34.28|MACD:0.13|D_Value:43.12|MA_Bull:0.00
00662.TW     | 富邦NASDAQ   | 118.30     | 🚀 買進           |      +16.31% |     38 |    50.43% | [P:0.54] RSI:37.02|KD_Diff:-6.97|MA_Slope:-0.03|MA_Bull:0.00
