股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
2303.TW,2026-01-07,54.1,2026-01-08,57.0,2026-02-02,62.3,9.30%,0.09298244275614041,交易結束,2303.TW 聯電
3714.TW,2026-01-26,37.9,2026-01-27,38.9,2026-01-30,36.05,-7.33%,-0.0732648374551461,交易結束,3714.TW 富采
3714.TW,2026-02-24,38.4,2026-02-25,38.6,2026-03-05,37.6,-2.59%,-0.02590673677541683,交易結束,3714.TW 富采
3714.TW,2026-03-06,39.15,2026-03-09,35.35,2026-03-10,37.65,6.51%,0.06506373836154916,交易結束,3714.TW 富采
3714.TW,2026-03-11,39.7,2026-03-12,39.3,2026-03-31,47.0,19.59%,0.1959287763962865,交易結束,3714.TW 富采
3714.TW,2026-04-02,54.2,2026-04-07,55.4,持股中,71.9,29.78%,0.2978339268147149,續抱中,3714.TW 富采
6285.TW,2026-01-20,130.0,2026-01-21,134.0,2026-02-09,190.0,41.79%,0.417910447761194,交易結束,6285.TW 啟��
6285.TW,2026-04-07,197.0,2026-04-08,212.0,持股中,251.0,18.40%,0.18396226415094338,續抱中,6285.TW 啟��
6456.TW,2026-03-02,52.5,2026-03-03,56.5,2026-03-24,61.6,9.03%,0.09026545971858403,交易結束,6456.TW GIS-KY
6456.TW,2026-04-15,70.1,2026-04-16,70.2,持股中,70.2,0.00%,0.0,續抱中,6456.TW GIS-KY
3105.TWO,2026-01-07,186.0,2026-01-08,186.5,2026-02-03,237.5,27.35%,0.2734584450402145,交易結束,3105.TWO 穩懋
3105.TWO,2026-03-19,354.5,2026-03-20,372.0,2026-03-25,344.5,-7.39%,-0.0739247311827957,交易結束,3105.TWO 穩懋
3105.TWO,2026-03-30,390.5,2026-03-31,372.5,持股中,448.0,20.27%,0.20268456375838925,續抱中,3105.TWO 穩懋
8150.TW,2026-01-07,53.2,2026-01-08,53.2,2026-01-29,66.0,24.06%,0.24060148596889344,交易結束,8150.TW 南茂
8150.TW,2026-02-26,71.5,2026-03-02,69.5,2026-03-05,61.0,-12.23%,-0.1223021582733813,交易結束,8150.TW 南茂
8150.TW,2026-04-15,67.0,2026-04-16,69.2,持股中,69.2,0.00%,0.0,續抱中,8150.TW 南茂
2481.TW,2026-01-16,91.5,2026-01-19,92.3,2026-01-26,90.0,-2.49%,-0.024918775468611976,交易結束,2481.TW 強茂
2481.TW,2026-03-17,102.13,2026-03-18,103.11,2026-03-23,89.66,-13.05%,-0.13047613383047615,交易結束,2481.TW 強茂
3576.TW,2026-01-13,9.78,2026-01-14,10.0,2026-01-23,10.35,3.50%,0.035000038149999926,交易結束,3576.TW 聯合再生
3576.TW,2026-02-03,12.3,2026-02-04,13.25,2026-03-10,21.35,61.13%,0.6113207835094339,交易結束,3576.TW 聯合再生
6213.TW,2026-02-25,146.5,2026-02-26,148.0,2026-03-05,127.0,-14.19%,-0.14189189189189189,交易結束,6213.TW 聯茂
6213.TW,2026-03-17,154.0,2026-03-18,159.0,2026-03-24,139.5,-12.26%,-0.12264150943396226,交易結束,6213.TW 聯茂
6213.TW,2026-04-02,170.0,2026-04-07,180.5,持股中,237.0,31.30%,0.31301939058171746,續抱中,6213.TW 聯茂
6127.TWO,2026-01-14,42.0,2026-01-15,42.0,2026-01-22,40.25,-4.17%,-0.041666666666666664,交易結束,6127.TWO 九豪
3645.TW,2026-01-19,63.7,2026-01-20,62.6,2026-01-30,66.6,6.39%,0.06389776513580842,交易結束,3645.TW 達邁
3645.TW,2026-03-10,75.5,2026-03-11,79.5,2026-03-23,75.0,-5.66%,-0.05660377358490566,交易結束,3645.TW 達邁
2419.TW,2026-01-08,26.65,2026-01-09,26.65,2026-01-23,30.7,15.20%,0.15197002635559342,交易結束,2419.TW 仲琦
2419.TW,2026-03-26,33.25,2026-03-27,33.2,2026-04-15,34.5,3.92%,0.03915660262733227,交易結束,2419.TW 仲琦
4979.TWO,2026-01-28,322.0,2026-01-29,330.0,2026-03-09,341.5,3.48%,0.03484848484848485,交易結束,4979.TWO 華星光
9105.TW,2026-01-12,6.02,2026-01-13,6.03,2026-01-26,6.05,0.33%,0.0032680195814190588,交易結束,9105.TW 泰金寶-DR
5498.TWO,2026-01-16,70.0,2026-01-19,71.5,2026-01-26,62.0,-13.29%,-0.13286713286713286,交易結束,5498.TWO 凱崴
4919.TW,2026-01-14,57.5,2026-01-15,57.0,2026-02-03,60.0,5.26%,0.05263157894736842,交易結束,4919.TW 新唐
4919.TW,2026-02-24,72.9,2026-02-25,76.4,2026-03-27,94.4,23.56%,0.2356020895352719,交易結束,4919.TW 新唐
6173.TWO,2026-01-14,76.6,2026-01-15,77.1,2026-01-29,75.4,-2.20%,-0.022049247494746516,交易結束,6173.TWO 信昌電
6173.TWO,2026-04-14,73.3,2026-04-15,75.3,持股中,76.3,1.33%,0.013280211945171967,續抱中,6173.TWO 信昌電
2312.TW,2026-01-07,23.85,2026-01-08,23.95,2026-01-09,22.7,-5.22%,-0.05219206514332666,交易結束,2312.TW 金寶
2312.TW,2026-01-12,25.05,2026-01-13,26.1,2026-01-23,28.55,9.39%,0.09386968658194311,交易結束,2312.TW 金寶
6147.TWO,2026-01-07,55.4,2026-01-08,55.4,2026-01-30,56.9,2.71%,0.027075811528610452,交易結束,6147.TWO 頎邦
6147.TWO,2026-03-17,65.4,2026-03-18,69.8,2026-04-01,75.4,8.02%,0.08022920099221367,交易結束,6147.TWO 頎邦
2363.TW,2026-01-19,52.0,2026-01-20,51.4,2026-02-02,51.9,0.97%,0.009727626170362163,交易結束,2363.TW 矽統
8046.TW,2026-01-13,268.0,2026-01-14,272.0,2026-02-03,378.0,38.97%,0.3897058823529412,交易結束,8046.TW 南電
8046.TW,2026-02-24,503.0,2026-02-25,530.0,2026-03-05,488.0,-7.92%,-0.07924528301886792,交易結束,8046.TW 南電
8046.TW,2026-03-16,566.0,2026-03-17,580.0,2026-03-25,510.0,-12.07%,-0.1206896551724138,交易結束,8046.TW 南電
3221.TWO,2026-01-14,26.1,2026-01-15,28.2,2026-01-23,25.75,-8.69%,-0.08687945732693837,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-01-29,28.0,2026-01-30,28.75,2026-02-03,27.15,-5.57%,-0.05565218718260867,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-02-04,31.15,2026-02-05,30.05,2026-02-09,28.6,-4.83%,-0.04825287495547816,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-02-26,31.75,2026-03-02,31.5,2026-03-09,27.4,-13.02%,-0.13015874226984125,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-03-30,36.85,2026-03-31,35.9,2026-04-07,36.0,0.28%,0.0027854726977616976,交易結束,3221.TWO 台嘉碩
4916.TW,2026-01-08,58.6,2026-01-09,60.5,2026-02-02,63.5,4.96%,0.049586776859504134,交易結束,4916.TW 事欣科
6163.TWO,2026-01-09,59.7,2026-01-12,62.7,2026-01-26,67.7,7.97%,0.07974475477612003,交易結束,6163.TWO 華電網
6163.TWO,2026-03-25,65.4,2026-03-26,66.8,2026-03-31,58.0,-13.17%,-0.1317365666132687,交易結束,6163.TWO 華電網
2484.TW,2026-01-13,23.0,2026-01-14,25.3,2026-02-02,27.05,6.92%,0.06916996256006974,交易結束,2484.TW 希華
2484.TW,2026-02-24,30.3,2026-02-25,31.25,2026-03-03,30.1,-3.68%,-0.03679998779200003,交易結束,2484.TW 希華
2484.TW,2026-03-27,30.9,2026-03-30,30.8,2026-03-31,28.8,-6.49%,-0.06493506654347281,交易結束,2484.TW 希華
2484.TW,2026-04-01,31.25,2026-04-02,32.0,2026-04-08,29.8,-6.88%,-0.06875002384062501,交易結束,2484.TW 希華
2484.TW,2026-04-10,31.75,2026-04-13,32.1,持股中,37.3,16.20%,0.16199380094038462,續抱中,2484.TW 希華
4939.TWO,2026-01-15,40.3,2026-01-16,40.6,2026-01-28,42.0,3.45%,0.03448279750042618,交易結束,4939.TWO 亞電
4939.TWO,2026-03-13,33.8,2026-03-16,33.9,2026-03-17,32.55,-3.98%,-0.039823074573273436,交易結束,4939.TWO 亞電
4939.TWO,2026-04-15,34.05,2026-04-16,34.1,持股中,34.1,0.00%,0.0,續抱中,4939.TWO 亞電
3049.TW,2026-01-07,7.19,2026-01-08,7.48,2026-01-12,6.98,-6.68%,-0.06684491961540936,交易結束,3049.TW 精金
3049.TW,2026-01-22,11.1,2026-01-23,12.15,2026-01-29,8.65,-28.81%,-0.28806585266642987,交易結束,3049.TW 精金
