股號,名稱,收盤價,隔日勝率%,累積獲利%,交易次數,目前ATR,目前狀態,專家分析原因
6831.TW,邁科,516.00,50.00,87.20,3,29.68,持股中,📈 趨勢續強。目前防禦位設於 384.50，與現價緩衝空間為 25.5%。
00696B.TWO,富邦美債20年,29.25,16.67,-6.36,12,0.20,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 29.72，建議耐心等待突破。
6153.TW,嘉聯益,20.65,25.00,-8.90,7,0.99,持股中,📈 趨勢續強。目前防禦位設於 16.50，與現價緩衝空間為 20.1%。
8261.TW,富鼎,128.00,75.00,27.01,7,6.15,持股中,📈 趨勢續強。目前防禦位設於 103.50，與現價緩衝空間為 19.1%。
6205.TW,詮欣,89.10,50.00,72.39,7,4.85,持股中,📈 趨勢續強。目前防禦位設於 55.70，與現價緩衝空間為 37.5%。
1789.TW,神隆,21.00,0.00,-8.55,2,0.66,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 22.80，建議耐心等待突破。
3171.TWO,炎洲流通,66.00,0.00,0.00,0,3.01,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
4721.TWO,美琪瑪,93.00,80.00,24.67,9,3.69,持股中,📈 趨勢續強。目前防禦位設於 73.70，與現價緩衝空間為 20.8%。
911608.TW,明輝-DR,2.86,30.00,-7.33,19,0.06,持股中,📈 趨勢續強。目前防禦位設於 2.76，與現價緩衝空間為 3.4%。
6924.TW,榮惠-KY創,94.90,0.00,0.00,0,2.99,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
3044.TW,健鼎,444.00,100.00,19.28,1,20.21,持股中,📈 趨勢續強。目前防禦位設於 335.93，與現價緩衝空間為 24.3%。
3011.TW,今皓,13.85,20.00,-18.28,9,0.57,持股中,📈 趨勢續強。目前防禦位設於 12.30，與現價緩衝空間為 11.2%。
00876.TW,元大全球5G,73.35,50.00,6.04,3,1.64,持股中,📈 趨勢續強。目前防禦位設於 61.30，與現價緩衝空間為 16.4%。
00676R.TW,富邦臺灣加權反1,6.84,0.00,-15.00,4,0.17,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 7.83，建議耐心等待突破。
4961.TW,天鈺,154.00,0.00,0.38,1,4.32,持股中,📈 趨勢續強。目前防禦位設於 150.00，與現價緩衝空間為 2.6%。
2012.TW,春雨,15.90,0.00,-5.45,2,0.35,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.00，建議耐心等待突破。
8114.TW,振樺電,186.00,33.33,1.64,5,5.96,持股中,📈 趨勢續強。目前防禦位設於 161.93，與現價緩衝空間為 12.9%。
8028.TW,昇陽半導體,209.50,44.44,-12.19,17,11.64,建議買入,🚀 今日收盤 209.50 突破關鍵高點 169.00，啟動波段漲勢。
6443.TW,元晶,39.20,0.00,-4.26,1,2.30,持股中,📈 趨勢續強。目前防禦位設於 31.73，與現價緩衝空間為 19.1%。
2748.TW,雲品,41.40,0.00,-8.88,5,1.21,持股中,📈 趨勢續強。目前防禦位設於 40.85，與現價緩衝空間為 1.3%。
6525.TW,捷敏-KY,92.70,75.00,4.83,7,2.08,持股中,📈 趨勢續強。目前防禦位設於 80.50，與現價緩衝空間為 13.2%。
6877.TWO,鏵友益,164.00,100.00,69.81,1,9.68,持股中,📈 趨勢續強。目前防禦位設於 108.00，與現價緩衝空間為 34.1%。
1802.TW,台玻,74.20,33.33,-0.48,5,5.26,持股中,📈 趨勢續強。目前防禦位設於 48.44，與現價緩衝空間為 34.7%。
9938.TW,百和,45.00,0.00,-10.22,4,0.75,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 46.40，建議耐心等待突破。
4442.TWO,竣邦-KY,56.60,33.33,-1.61,6,1.32,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 56.70，建議耐心等待突破。
00635U.TW,期元大S&P黃金,50.30,66.67,-5.93,6,0.86,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 48.80，建議耐心等待突破。
2408.TW,南亞科,220.00,50.00,-20.29,3,15.29,持股中,📈 趨勢續強。目前防禦位設於 183.79，與現價緩衝空間為 16.5%。
2504.TW,國產,36.40,37.50,-2.04,16,0.61,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 35.30，建議耐心等待突破。
5546.TW,永固-KY,17.20,50.00,-4.05,3,0.68,持股中,📈 趨勢續強。目前防禦位設於 14.89，與現價緩衝空間為 13.4%。
3086.TWO,華義,39.30,50.00,-32.05,3,1.20,持股中,📈 趨勢續強。目前防禦位設於 32.50，與現價緩衝空間為 17.3%。
2395.TW,研華,364.50,100.00,2.06,1,12.75,持股中,📈 趨勢續強。目前防禦位設於 322.93，與現價緩衝空間為 11.4%。
3050.TW,鈺德,13.30,42.86,-22.52,13,0.35,持股中,📈 趨勢續強。目前防禦位設於 12.55，與現價緩衝空間為 5.6%。
00984B.TWO,大華優利美A債15,16.50,50.00,-3.14,8,0.11,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 16.32，建議耐心等待突破。
6591.TW,動力-KY,58.70,0.00,-0.94,1,1.60,持股中,📈 趨勢續強。目前防禦位設於 55.81，與現價緩衝空間為 4.9%。
6176.TW,瑞儀,90.60,0.00,-12.18,2,2.19,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 92.50，建議耐心等待突破。
6811.TWO,宏�硌穈T,195.50,0.00,-0.34,1,4.07,持股中,📈 趨勢續強。目前防禦位設於 178.18，與現價緩衝空間為 8.9%。
9949.TWO,琉園,36.50,100.00,43.02,1,1.78,持股中,📈 趨勢續強。目前防禦位設於 32.10，與現價緩衝空間為 12.1%。
4510.TWO,高鋒,46.05,55.00,-18.59,39,2.04,建議買入,🚀 今日收盤 46.05 突破關鍵高點 40.90，啟動波段漲勢。
6194.TWO,育富,33.00,0.00,-3.32,3,0.36,持股中,📈 趨勢續強。目前防禦位設於 32.50，與現價緩衝空間為 1.5%。
6124.TWO,業強,30.20,75.00,-6.00,7,1.68,持股中,📈 趨勢續強。目前防禦位設於 29.75，與現價緩衝空間為 1.5%。
00757.TW,統一FANG+,117.85,25.00,2.52,7,2.09,持股中,📈 趨勢續強。目前防禦位設於 108.77，與現價緩衝空間為 7.7%。
2101.TW,南港,35.25,40.00,-12.49,10,1.34,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 33.18，建議耐心等待突破。
00945B.TW,凱基美國非投等債,14.44,0.00,-3.62,8,0.05,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 14.38，建議耐心等待突破。
4556.TWO,旭然,31.05,50.00,-2.00,3,1.33,持股中,📈 趨勢續強。目前防禦位設於 26.10，與現價緩衝空間為 15.9%。
1612.TW,宏泰,35.65,0.00,-7.24,3,0.59,持股中,📈 趨勢續強。目前防禦位設於 34.23，與現價緩衝空間為 4.0%。
6624.TWO,萬年清,55.60,33.33,-18.27,6,1.76,觀望中,⚠️ 已出現低位金叉，但收盤價尚未站上關鍵高點 59.50，建議耐心等待突破。
3081.TWO,聯亞,2935.00,0.00,0.00,0,191.43,觀望中,DMA 趨勢尚在整理階段，目前無明確轉強訊號。
00685L.TW,群益臺灣加權正2,210.05,0.00,1.33,3,7.78,持股中,📈 趨勢續強。目前防禦位設於 165.65，與現價緩衝空間為 21.1%。
6446.TW,藥華藥,650.00,47.06,16.06,33,21.14,建議買入,🚀 今日收盤 650.00 突破關鍵高點 504.00，啟動波段漲勢。
