Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
8044.TWO,網家,2026-04-30,看跌 FVG,22.75,22.91,21.61,❌ 已失效,實體過中線,0,53.66,-,2,False
2069.TW,運錩,2026-05-04,看跌 FVG,18.65,18.84,17.72,❌ 已失效,實體過中線,0,51.11,-,3,False
2485.TW,兆赫,2026-05-05,看漲 FVG,64.7,64.18,67.94,💰 已達標,獲利點,1,37.69,-,3,False
3049.TW,精金,2026-05-04,看漲 FVG,13.05,12.79,13.7,❌ 已失效,實體破中線,0,58.82,-,3,False
3702.TW,大聯大,2026-04-23,看跌 FVG,99.1,101.0,94.14,❌ 已失效,實體過中線,0,63.07,2026-04-28,3,False
2367.TW,燿華,2026-04-24,看跌 FVG,60.8,61.41,57.76,💰 已達標,獲利點,0,30.25,-,4,False
4956.TW,光鋐,2026-04-28,看漲 FVG,46.5,45.77,48.83,💰 已達標,獲利點,0,67.82,-,4,False
6407.TWO,相互,2026-04-23,看跌 FVG,49.9,57.49,47.4,💰 已達標,獲利點,0,71.81,-,4,False
6849.TWO,奇鼎科技,2026-04-21,看漲 FVG,243.5,163.18,255.68,💰 已達標,獲利點,1,80.11,2026-04-23,4,False
7853.TWO,政美應用,2026-04-28,看漲 FVG,398.5,383.07,418.43,💰 已達標,獲利點,0,60.81,2026-04-30,4,False
