====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260723 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.93      | ❄️ 空倉          |      +11.17% |     14 |    54.72% | [P:0.40] RSI:35.82|MACD:-0.25|KD_Diff:13.79|BIAS_20:-1.71
00401A.TW    | 主動摩根台灣鑫收   | 13.20      | 🟢 持股           |      +11.09% |      9 |    57.69% | [P:0.61] RSI:40.00|MACD:-0.13|KD_Diff:12.57|BIAS_20:-0.54
00402A.TW    | 主動安聯美國科技   | 9.73       | 🟢 持股           |       +0.00% |      1 |    57.14% | [P:0.50] [⚠️降級預設] RSI:46.50|MACD:-0.06|KD_Diff:5.23|D_Value:37.57
00403A.TW    | 主動統一升級50   | 9.97       | 🟢 持股           |       +6.59% |      3 |    55.00% | [P:0.54] [⚠️降級預設] RSI:32.43|MACD:-0.23|KD_Diff:9.24|D_Value:31.51
00404A.TW    | 主動聯博動能50   | 9.63       | 🟢 持股           |       -0.10% |      3 |    57.14% | [P:0.51] [⚠️降級預設] RSI:35.59|MACD:-0.15|KD_Diff:11.68|D_Value:34.80
00405A.TW    | 主動富邦台灣龍耀   | 8.26       | 🟢 持股           |       +0.00% |      1 |    28.57% | [P:0.53] [⚠️降級預設] RSI:34.14|MACD:-0.33|KD_Diff:10.17|D_Value:32.37
00406A.TW    | 主動中信台灣收益   | 9.52       | 🟢 持股           |       +0.00% |      1 |    44.44% | [P:0.51] [⚠️降級預設] RSI:35.71|MACD:-0.19|KD_Diff:12.70|D_Value:34.59
0050.TW      | 元大台灣50     | 103.90     | ❄️ 空倉          |      +34.74% |     34 |    48.72% | [P:0.33] Vol_Ratio:0.27|BIAS_20:-1.27|MA_Slope:-0.16|BB_Upper:6.75
0052.TW      | 富邦科技       | 60.90      | ❄️ 空倉          |      +32.87% |     18 |    51.03% | [P:0.44] MACD:-0.25|D_Value:39.50|Vol_Ratio:0.40|BB_Upper:7.20
0056.TW      | 元大高股息      | 50.65      | 🟢 持股           |      +19.16% |     27 |    51.39% | [P:0.54] KD_Diff:5.45|Vol_Ratio:0.31|BB_Upper:7.49|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 25.13      | 🟢 持股           |      +11.03% |      9 |    51.75% | [P:0.50] [⚠️降級預設] RSI:48.29|MACD:-0.06|KD_Diff:13.73|D_Value:48.05
006201.TWO   | 元大富櫃50     | 43.05      | ❄️ 空倉          |      +66.83% |     42 |    50.10% | [P:0.35] Vol_Ratio:0.38|MA_Slope:-0.61|BB_Upper:17.41|MA_Bull:0.00
