📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2409.TW    | 次數: 2    | 勝率:  50.00% | 累計:   13.71%
1815.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -6.47%
1717.TW    | 次數: 1    | 勝率: 100.00% | 累計:   48.84%
2489.TW    | 次數: 3    | 勝率:  66.67% | 累計:    0.48%
3714.TW    | 次數: 5    | 勝率:  40.00% | 累計:   10.77%
1785.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   15.71%
6190.TWO   | 次數: 3    | 勝率:  33.33% | 累計:  -15.80%
3264.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   10.84%
8039.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.52%
1711.TW    | 次數: 3    | 勝率:  66.67% | 累計:   28.93%
8028.TW    | 次數: 3    | 勝率:   0.00% | 累計:   -7.22%
2486.TW    | 次數: 1    | 勝率: 100.00% | 累計:   24.89%
2426.TW    | 次數: 1    | 勝率: 100.00% | 累計:   59.40%
6213.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -17.04%
5443.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    1.88%
5388.TW    | 次數: 2    | 勝率:  50.00% | 累計:    1.10%
8027.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   12.66%
6217.TWO   | 次數: 2    | 勝率:  50.00% | 累計:  144.69%
3026.TW    | 次數: 2    | 勝率:  50.00% | 累計:   11.58%
8064.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   21.89%
4927.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -21.97%
2495.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.17%
3049.TW    | 次數: 4    | 勝率:   0.00% | 累計:  -62.77%
6672.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -3.92%
4908.TWO   | 次數: 3    | 勝率:  33.33% | 累計:   -2.21%
3042.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -4.87%
6274.TWO   | 次數: 2    | 勝率:   0.00% | 累計:   -0.39%
2316.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -11.63%
2476.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -2.34%
3234.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   38.32%
