股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
2419.TW,仲琦,🔥 訊號出現,35.1500015259,65.47,🟡 妖股/高波動,50.00%,37.50%,6.01%,-4.20%,33.67,8,0.375,0.0601
2484.TW,希華,🔥 訊號出現,31.25,63.47,🟡 妖股/高波動,50.00%,33.33%,3.42%,-3.33%,30.21,6,0.3333,0.0342
6245.TWO,立端,🔥 訊號出現,69.5999984741,66.87,⚪ 一般監控,0.00%,50.00%,1.61%,-2.20%,68.07,2,0.5,0.0161
6727.TWO,亞泰金屬,🔥 訊號出現,325.5,67.6,⚪ 一般監控,16.67%,50.00%,5.21%,-3.13%,315.3,6,0.5,0.0521
6509.TWO,聚和,🔥 訊號出現,46.0499992371,71.34,⚪ 一般監控,44.44%,44.44%,0.13%,-4.36%,44.04,9,0.4444,0.0013
8109.TWO,博大,🔥 訊號出現,105.5,71.18,⚪ 一般監控,40.00%,40.00%,2.35%,-0.91%,104.54,5,0.4,0.0235
4906.TW,正文,🔥 訊號出現,39.6500015259,73.71,⚪ 一般監控,33.33%,33.33%,1.87%,-10.27%,35.58,6,0.3333,0.0187
9917.TW,中保科,🔥 訊號出現,115.5,59.38,⚪ 一般監控,33.33%,33.33%,1.12%,-0.23%,115.24,3,0.3333,0.0112
6405.TW,悅城,🔥 訊號出現,33.7999992371,60.35,⚪ 一般監控,33.33%,33.33%,0.57%,-2.82%,32.85,3,0.3333,0.0057
4527.TWO,方土霖,🔥 訊號出現,42.5999984741,68.89,⚪ 一般監控,0.00%,33.33%,0.80%,-1.53%,41.95,3,0.3333,0.008
5243.TW,乙盛-KY,🔥 訊號出現,88.9000015259,77.05,⚪ 一般監控,66.67%,0.00%,nan%,-2.27%,86.88,3,0.0,
2020.TW,美亞,🔥 訊號出現,24.9500007629,65.08,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,24.95,1,0.0,
6151.TWO,晉倫,🔥 訊號出現,33.5499992371,80.91,⚪ 一般監控,50.00%,0.00%,nan%,-1.33%,33.1,2,0.0,
00981B.TWO,第一金優選非投債,🔥 訊號出現,9.2899999619,57.73,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,9.29,1,0.0,
8077.TWO,洛��,🔥 訊號出現,44.2000007629,69.31,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,44.2,1,0.0,
3552.TWO,同致,🔥 訊號出現,59.5999984741,74.74,⚪ 一般監控,66.67%,0.00%,nan%,0.00%,59.6,3,0.0,
6895.TWO,宏碩系統,🔥 訊號出現,187.0,72.58,⚪ 一般監控,50.00%,0.00%,nan%,0.00%,187.0,2,0.0,
6462.TWO,神盾,🔥 訊號出現,107.5,53.29,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,107.5,1,0.0,
5487.TWO,通泰,🔥 訊號出現,27.9500007629,54.4,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,27.95,1,0.0,
6534.TW,正瀚-創,🔥 訊號出現,92.0,73.86,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,92.0,1,0.0,
6664.TWO,群翊,🔥 訊號出現,322.5,79.37,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,322.5,2,0.0,
3178.TWO,公準,🔥 訊號出現,62.0999984741,66.67,⚪ 一般監控,0.00%,0.00%,nan%,0.00%,62.1,1,0.0,
3221.TWO,台嘉碩,🔥 訊號出現,38.7999992371,66.95,🔴 空頭陷阱,33.33%,22.22%,-5.06%,-8.04%,35.68,9,0.2222,-0.0506
7721.TW,微程式,🔥 訊號出現,76.9000015259,88.09,🔴 空頭陷阱,50.00%,0.00%,-3.29%,0.70%,77.44,4,0.0,-0.0329
4737.TW,華廣,🔥 訊號出現,71.6999969482,91.08,🔴 空頭陷阱,33.33%,0.00%,-2.11%,-4.21%,68.68,3,0.0,-0.0211
4171.TWO,瑞基,🔥 訊號出現,19.5499992371,62.3,🔴 空頭陷阱,33.33%,0.00%,-4.50%,-5.71%,18.43,3,0.0,-0.045
6565.TWO,物聯,🔥 訊號出現,19.2000007629,60.07,🔴 空頭陷阱,33.33%,0.00%,-0.52%,-21.03%,15.16,3,0.0,-0.0052
1789.TW,神隆,無,21.7000007629,58.47,🟢 黃金標的,100.00%,100.00%,15.78%,-1.98%,0.0,2,1.0,0.1578
3044.TW,健鼎,無,355.0,48.57,🟢 黃金標的,100.00%,100.00%,4.78%,-0.29%,0.0,2,1.0,0.0478
6446.TW,藥華藥,無,635.0,42.93,🟢 黃金標的,50.00%,100.00%,9.52%,-1.87%,0.0,4,1.0,0.0952
1717.TW,長興,無,60.0,42.86,🟢 黃金標的,80.00%,100.00%,16.85%,-3.23%,0.0,5,1.0,0.1685
6129.TWO,普誠,無,14.8999996185,50.33,🟢 黃金標的,100.00%,100.00%,3.03%,0.61%,0.0,1,1.0,0.0303
3054.TW,立萬利,無,74.3000030518,56.32,🟢 黃金標的,100.00%,100.00%,60.48%,9.93%,0.0,1,1.0,0.6048
4905.TWO,台聯電,無,80.8000030518,64.58,🟢 黃金標的,50.00%,100.00%,16.18%,4.66%,0.0,2,1.0,0.1618
8042.TWO,金山電,無,54.0999984741,51.89,🟢 黃金標的,50.00%,100.00%,4.33%,-5.26%,0.0,2,1.0,0.0433
00947.TW,台新臺灣IC設計,無,23.1100006104,48.35,🟢 黃金標的,66.67%,100.00%,3.09%,-2.42%,0.0,3,1.0,0.0309
2243.TW,宏旭-KY,無,22.0499992371,77.78,🟢 黃金標的,100.00%,100.00%,10.79%,8.16%,0.0,1,1.0,0.1079
3324.TWO,雙鴻,無,920.0,34.07,🟢 黃金標的,33.33%,100.00%,5.64%,-7.26%,0.0,3,1.0,0.0564
3521.TWO,台鋼建設,無,13.0,35.8,🟢 黃金標的,0.00%,100.00%,4.02%,-5.88%,0.0,1,1.0,0.0402
3023.TW,信邦,無,259.5,57.03,🟢 黃金標的,0.00%,100.00%,5.94%,-3.45%,0.0,2,1.0,0.0594
3226.TWO,龍鋒,無,44.0,27.88,🟢 黃金標的,100.00%,100.00%,10.45%,-1.40%,0.0,6,1.0,0.1045
2755.TWO,揚秦,無,143.5,45.16,🟢 黃金標的,50.00%,100.00%,8.38%,-0.26%,0.0,4,1.0,0.0838
6515.TW,穎崴,無,7290.0,61.97,🟢 黃金標的,33.33%,100.00%,4.52%,-6.17%,0.0,3,1.0,0.0452
00941.TW,中信上游半導體,無,21.7700004578,52.35,🟢 黃金標的,100.00%,100.00%,4.69%,0.78%,0.0,1,1.0,0.0469
