====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260805 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.69      | ❄️ 空倉          |      +14.31% |     16 |    51.61% | [P:0.47] RSI:47.69|MACD:-0.30|KD_Diff:16.16|BIAS_20:2.19
00401A.TW    | 主動摩根台灣鑫收   | 13.41      | 💥 賣出           |      +11.09% |      9 |    55.74% | [P:0.38] RSI:50.84|MACD:-0.16|KD_Diff:16.38|BIAS_20:4.54
00402A.TW    | 主動安聯美國科技   | 9.92       | 🟢 持股           |       +0.00% |      1 |    47.83% | [P:0.51] [⚠️降級預設] RSI:50.92|MACD:-0.08|KD_Diff:19.70|D_Value:48.41
00403A.TW    | 主動統一升級50   | 9.81       | 🟢 持股           |       +6.59% |      3 |    55.10% | [P:0.50] [⚠️降級預設] RSI:44.88|MACD:-0.31|KD_Diff:17.86|D_Value:44.81
00404A.TW    | 主動聯博動能50   | 9.49       | ❄️ 空倉          |       -6.23% |      4 |    47.83% | [P:0.50] [⚠️降級預設] RSI:45.79|MACD:-0.19|KD_Diff:15.77|D_Value:52.07
00405A.TW    | 主動富邦台灣龍耀   | 8.05       | 🟢 持股           |       +0.00% |      1 |    39.13% | [P:0.51] [⚠️降級預設] RSI:45.86|MACD:-0.37|KD_Diff:17.17|D_Value:44.29
00406A.TW    | 主動中信台灣收益   | 9.27       | 🟢 持股           |       +0.00% |      1 |    50.00% | [P:0.51] [⚠️降級預設] RSI:46.07|MACD:-0.28|KD_Diff:15.78|D_Value:44.08
00407A.TW    | 主動凱基台灣     | 9.28       | 💥 賣出           |       +0.00% |      1 |    50.00% | [P:0.49] [⚠️降級預設] RSI:50.65|MACD:-0.22|KD_Diff:16.34|D_Value:51.80
0050.TW      | 元大台灣50     | 103.80     | 🚀 買進           |      +43.38% |     36 |    48.78% | [P:0.53] Vol_Ratio:0.79|BIAS_20:1.80|MA_Slope:-0.11|BB_Upper:5.61
0052.TW      | 富邦科技       | 60.65      | 🟢 持股           |      +19.45% |     21 |    51.01% | [P:0.54] MACD:-0.71|D_Value:52.46|Vol_Ratio:1.02|BB_Upper:6.15
0053.TW      | 元大電子       | 234.95     | ❄️ 空倉          |      +37.00% |     22 |    48.75% | [P:0.48] [⚠️降級預設] RSI:48.38|MACD:-3.06|KD_Diff:16.91|D_Value:52.71
0056.TW      | 元大高股息      | 51.45      | 🟢 持股           |       +6.27% |     29 |    51.34% | [P:0.59] KD_Diff:16.92|Vol_Ratio:1.00|BB_Upper:4.98|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.94      | 🟢 持股           |       +9.53% |     11 |    51.79% | [P:0.50] [⚠️降級預設] RSI:49.03|MACD:-0.10|KD_Diff:7.50|D_Value:46.62
006201.TWO   | 元大富櫃50     | 42.42      | 💥 賣出           |      +66.52% |     45 |    50.12% | [P:0.43] Vol_Ratio:0.91|MA_Slope:-0.47|BB_Upper:14.89|MA_Bull:0.00
