股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
2409.TW,2026-01-02,12.6,2026-01-05,12.9,2026-01-23,15.4,19.38%,0.1937984553437295,交易結束,2409.TW 友達
2409.TW,2026-03-12,17.25,2026-03-13,16.75,2026-03-17,15.8,-5.67%,-0.0567164065253731,交易結束,2409.TW 友達
1802.TW,2026-01-16,41.8,2026-01-19,44.7,2026-01-30,49.25,10.18%,0.10178969036788924,交易結束,1802.TW 台玻
1802.TW,2026-02-25,61.3,2026-02-26,62.0,2026-03-10,55.0,-11.29%,-0.11290322580645161,交易結束,1802.TW 台玻
1326.TW,2026-01-26,38.95,2026-01-27,40.95,2026-02-06,40.65,-0.73%,-0.007325988557045123,交易結束,1326.TW 台化
1326.TW,2026-02-26,51.0,2026-03-02,52.0,2026-03-05,45.2,-13.08%,-0.13076921609807698,交易結束,1326.TW 台化
2402.TW,2026-03-02,61.0,2026-03-03,64.2,2026-03-05,51.8,-19.31%,-0.19314639097420794,交易結束,2402.TW 毅嘉
2402.TW,2026-04-10,61.3,2026-04-13,61.8,持股中,71.0,14.89%,0.14886732809823433,續抱中,2402.TW 毅嘉
6127.TWO,2026-01-14,42.0,2026-01-15,42.0,2026-01-22,40.25,-4.17%,-0.041666666666666664,交易結束,6127.TWO 九豪
4919.TW,2026-01-14,57.5,2026-01-15,57.0,2026-02-03,60.0,5.26%,0.05263157894736842,交易結束,4919.TW 新唐
4919.TW,2026-02-24,72.9,2026-02-25,76.4,2026-03-27,94.4,23.56%,0.2356020895352719,交易結束,4919.TW 新唐
1312.TW,2026-01-15,13.75,2026-01-16,13.9,2026-01-22,13.1,-5.76%,-0.05755390352207307,交易結束,1312.TW 國喬
6278.TW,2026-04-10,104.0,2026-04-13,114.0,持股中,125.0,9.65%,0.09649122807017543,續抱中,6278.TW 台表科
6282.TW,2026-01-02,43.8,2026-01-05,44.6,2026-01-28,54.4,21.97%,0.21973101764770325,交易結束,6282.TW 康舒
6213.TW,2026-02-25,146.5,2026-02-26,148.0,2026-03-05,127.0,-14.19%,-0.14189189189189189,交易結束,6213.TW 聯茂
6213.TW,2026-03-17,154.0,2026-03-18,159.0,2026-03-24,139.5,-12.26%,-0.12264150943396226,交易結束,6213.TW 聯茂
6213.TW,2026-04-02,170.0,2026-04-07,180.5,持股中,211.0,16.90%,0.16897506925207756,續抱中,6213.TW 聯茂
4956.TW,2026-02-03,24.15,2026-02-04,23.45,2026-02-23,24.5,4.48%,0.04477608541323344,交易結束,4956.TW 光鋐
4956.TW,2026-03-13,31.2,2026-03-16,33.35,2026-03-31,31.8,-4.65%,-0.046476740867132146,交易結束,4956.TW 光鋐
3026.TW,2026-01-19,109.0,2026-01-20,109.0,2026-01-22,107.5,-1.38%,-0.013761467889908258,交易結束,3026.TW 禾伸堂
3026.TW,2026-03-27,151.0,2026-03-30,150.5,持股中,234.0,55.48%,0.5548172757475083,續抱中,3026.TW 禾伸堂
4989.TW,2026-01-02,54.3,2026-01-05,54.0,2026-01-09,49.5,-8.33%,-0.08333333333333333,交易結束,4989.TW 榮科
4989.TW,2026-01-14,60.5,2026-01-15,61.5,2026-01-26,57.5,-6.50%,-0.06504065040650407,交易結束,4989.TW 榮科
4989.TW,2026-02-26,64.2,2026-03-02,62.3,2026-03-10,63.6,2.09%,0.02086676168409706,交易結束,4989.TW 榮科
2049.TW,2026-01-16,219.5,2026-01-19,224.0,2026-02-03,237.0,5.80%,0.05803571428571429,交易結束,2049.TW 上銀
6789.TW,2026-02-25,311.0,2026-02-26,313.0,2026-03-10,323.0,3.19%,0.03194888178913738,交易結束,6789.TW 采鈺
6531.TW,2026-01-02,458.5,2026-01-05,469.5,2026-01-23,476.0,1.38%,0.013844515441959531,交易結束,6531.TW 愛普*
6531.TW,2026-03-12,485.5,2026-03-13,485.5,2026-03-25,516.0,6.28%,0.06282183316168898,交易結束,6531.TW 愛普*
6191.TW,2026-04-10,99.1,2026-04-13,100.0,2026-04-14,96.8,-3.20%,-0.03199996948199996,交易結束,6191.TW 精成科
3709.TWO,2026-01-07,61.2,2026-01-08,61.0,2026-01-20,60.1,-1.48%,-0.014754123375409873,交易結束,3709.TWO 鑫聯大投控
3701.TW,2026-01-15,58.0,2026-01-16,60.4,2026-01-26,52.8,-12.58%,-0.12582784928475635,交易結束,3701.TW 大眾控
6274.TWO,2026-01-23,504.0,2026-01-26,512.0,2026-02-03,510.0,-0.39%,-0.00390625,交易結束,6274.TWO 台燿
6274.TWO,2026-04-08,725.0,2026-04-09,731.0,持股中,839.0,14.77%,0.14774281805745554,續抱中,6274.TWO 台燿
4540.TW,2026-01-06,37.9,2026-01-07,38.35,2026-01-13,36.0,-6.13%,-0.06127766799487853,交易結束,4540.TW 全球傳動
4540.TW,2026-01-15,38.95,2026-01-16,40.2,2026-02-02,46.8,16.42%,0.1641790634066617,交易結束,4540.TW 全球傳動
4540.TW,2026-02-23,51.4,2026-02-24,51.2,2026-03-05,48.75,-4.79%,-0.04785157668738338,交易結束,4540.TW 全球傳動
