📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2409.TW    | 次數: 2    | 勝率:  50.00% | 累計:   13.71%
1802.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.11%
1326.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -13.81%
2402.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -4.43%
6127.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.17%
4919.TW    | 次數: 2    | 勝率: 100.00% | 累計:   28.82%
1312.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -5.76%
6278.TW    | 次數: 1    | 勝率: 100.00% | 累計:    9.65%
6282.TW    | 次數: 1    | 勝率: 100.00% | 累計:   21.97%
6213.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -9.56%
4956.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -0.17%
3026.TW    | 次數: 2    | 勝率:  50.00% | 累計:   54.11%
4989.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -12.75%
2049.TW    | 次數: 1    | 勝率: 100.00% | 累計:    5.80%
6789.TW    | 次數: 1    | 勝率: 100.00% | 累計:    3.19%
6531.TW    | 次數: 2    | 勝率: 100.00% | 累計:    7.67%
6191.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -3.20%
3709.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.48%
3701.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -12.58%
6274.TWO   | 次數: 2    | 勝率:  50.00% | 累計:   14.38%
4540.TW    | 次數: 3    | 勝率:  33.33% | 累計:    5.50%
