股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
2317.TW,2026-01-07,238.5,2026-01-08,237.5,2026-01-09,230.0,-3.16%,-0.031578947368421054,交易結束,2317.TW 鴻海
2317.TW,2026-02-25,246.5,2026-02-26,253.5,2026-03-04,224.5,-11.44%,-0.11439842209072978,交易結束,2317.TW 鴻海
3702.TW,2026-02-24,66.6,2026-02-25,67.0,2026-03-31,89.6,33.73%,0.3373134100611941,交易結束,3702.TW 大聯大
2485.TW,2026-01-15,36.55,2026-01-16,38.1,2026-02-10,40.9,7.35%,0.0734908966913324,交易結束,2485.TW 兆赫
2485.TW,2026-03-03,54.4,2026-03-04,54.0,2026-04-07,80.7,49.44%,0.4944443879296295,交易結束,2485.TW 兆赫
2367.TW,2026-01-07,31.65,2026-01-08,32.0,2026-02-11,52.1,62.81%,0.6281249523156249,交易結束,2367.TW 燿華
2367.TW,2026-03-02,70.9,2026-03-03,74.0,2026-03-10,65.0,-12.16%,-0.12162162162162163,交易結束,2367.TW 燿華
2367.TW,2026-03-27,78.2,2026-03-30,77.5,2026-04-01,78.0,0.65%,0.0064516129032258064,交易結束,2367.TW 燿華
4142.TW,2026-03-23,18.35,2026-03-24,18.5,2026-04-08,18.3,-1.08%,-0.01081085204864866,交易結束,4142.TW 國光生
4142.TW,2026-04-16,18.7,2026-04-17,18.8,持股中,18.8,0.00%,0.0,續抱中,4142.TW 國光生
0050.TW,2026-01-05,68.53,2026-01-06,68.48,2026-02-03,73.0,6.60%,0.06595176809209385,交易結束,0050.TW 元大台灣50
0050.TW,2026-02-25,81.1,2026-02-26,81.25,2026-03-05,78.3,-3.63%,-0.03630765474707687,交易結束,0050.TW 元大台灣50
0056.TW,2026-01-19,37.55,2026-01-20,37.51,2026-02-02,37.28,-0.61%,-0.006135616978836869,交易結束,0056.TW 元大高股息
0056.TW,2026-02-11,38.7,2026-02-23,38.97,2026-03-05,38.5,-1.21%,-0.012060590350978598,交易結束,0056.TW 元大高股息
2337.TW,2026-01-02,43.35,2026-01-05,47.65,2026-02-09,88.8,86.36%,0.8635886717345236,交易結束,2337.TW 旺宏
2352.TW,2026-01-23,28.2,2026-01-26,29.2,2026-01-29,25.7,-11.99%,-0.11986301056700374,交易結束,2352.TW 佳世達
2352.TW,2026-04-15,24.7,2026-04-16,25.1,持股中,25.25,0.60%,0.005976080327495065,續抱中,2352.TW 佳世達
2409.TW,2026-01-02,12.6,2026-01-05,12.9,2026-01-23,15.4,19.38%,0.1937984553437295,交易結束,2409.TW 友達
2409.TW,2026-03-12,17.25,2026-03-13,16.75,2026-03-17,15.8,-5.67%,-0.0567164065253731,交易結束,2409.TW 友達
2409.TW,2026-04-15,20.05,2026-04-16,20.35,持股中,20.4,0.25%,0.002456964917084492,續抱中,2409.TW 友達
3481.TW,2026-01-02,18.1,2026-01-05,18.8,2026-01-26,24.55,30.59%,0.3058510762411588,交易結束,3481.TW 群創
3481.TW,2026-03-12,32.95,2026-03-13,30.25,2026-03-17,27.9,-7.77%,-0.07768596302479336,交易結束,3481.TW 群創
6136.TW,2026-04-10,24.4,2026-04-13,24.5,2026-04-17,24.45,-0.20%,-0.002040785187755092,交易結束,6136.TW 富爾特
3105.TWO,2026-01-07,186.0,2026-01-08,186.5,2026-02-03,237.5,27.35%,0.2734584450402145,交易結束,3105.TWO 穩懋
3105.TWO,2026-03-19,354.5,2026-03-20,372.0,2026-03-25,344.5,-7.39%,-0.0739247311827957,交易結束,3105.TWO 穩懋
3105.TWO,2026-03-30,390.5,2026-03-31,372.5,持股中,511.0,37.18%,0.3718120805369127,續抱中,3105.TWO 穩懋
4966.TWO,2026-04-10,533.0,2026-04-13,532.0,持股中,554.0,4.14%,0.041353383458646614,續抱中,4966.TWO 譜瑞-KY
6188.TWO,2026-01-06,116.5,2026-01-07,116.5,2026-01-14,111.5,-4.29%,-0.04291845493562232,交易結束,6188.TWO 廣明
7792.TWO,2026-01-02,226.5,2026-01-05,231.0,2026-02-02,360.0,55.84%,0.5584415584415584,交易結束,7792.TWO 安葆
7792.TWO,2026-04-08,347.0,2026-04-09,347.0,持股中,,nan%,,續抱中,7792.TWO 安葆
2327.TW,2026-01-13,260.5,2026-01-14,268.0,2026-01-29,286.0,6.72%,0.06716417910447761,交易結束,2327.TW 國巨*
3714.TW,2026-01-26,37.9,2026-01-27,38.9,2026-01-30,36.05,-7.33%,-0.0732648374551461,交易結束,3714.TW 富采
3714.TW,2026-02-24,38.4,2026-02-25,38.6,2026-03-05,37.6,-2.59%,-0.02590673677541683,交易結束,3714.TW 富采
3714.TW,2026-03-06,39.15,2026-03-09,35.35,2026-03-10,37.65,6.51%,0.06506373836154916,交易結束,3714.TW 富采
3714.TW,2026-03-11,39.7,2026-03-12,39.3,2026-03-31,47.0,19.59%,0.1959287763962865,交易結束,3714.TW 富采
3714.TW,2026-04-02,54.2,2026-04-07,55.4,持股中,76.9,38.81%,0.388086631910083,續抱中,3714.TW 富采
1802.TW,2026-01-16,41.8,2026-01-19,44.7,2026-01-30,49.25,10.18%,0.10178969036788924,交易結束,1802.TW 台玻
1802.TW,2026-02-25,61.3,2026-02-26,62.0,2026-03-10,55.0,-11.29%,-0.11290322580645161,交易結束,1802.TW 台玻
1721.TW,2026-01-06,16.85,2026-01-07,16.5,2026-01-09,15.85,-3.94%,-0.03939391627272732,交易結束,1721.TW 三晃
1721.TW,2026-01-15,18.75,2026-01-16,18.85,2026-01-26,18.55,-1.59%,-0.015915179752167555,交易結束,1721.TW 三晃
8104.TW,2026-01-14,34.3,2026-01-15,33.95,2026-01-28,36.6,7.81%,0.07805589548309745,交易結束,8104.TW 錸寶
