股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
2317,鴻海,📉 趨勢轉弱,200.5,-6.68,37.5,0.0,⚠️ 賣出,📢 趨勢轉向：跌破月線
3702,大聯大,🚀 多頭強勢,91.5,33.73,60.0,70.0,⏳ 觀望,"⏳ 觀望中 (缺: 量能不足, RSI動能弱)"
2485,兆赫,📉 趨勢轉弱,73.5,29.66,61.1,61.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2367,燿華,🚀 多頭強勢,75.0,24.85,59.3,77.8,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
4142,國光生,📈 月線上揚,18.35,-0.05,37.5,37.5,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
0050,元大台灣50,🚀 多頭強勢,80.75,3.2,61.1,61.1,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
0056,元大高股息,📈 月線上揚,39.41,0.71,71.4,66.7,⏳ 觀望,"⏳ 觀望中 (缺: 量能不足, RSI動能弱)"
00635U,期元大S&P黃金,🔄 重新整理,50.1,3.68,66.7,58.3,⏳ 觀望,"⏳ 觀望中 (缺: 量能不足, RSI動能弱)"
00738U,期元大道瓊白銀,🔄 重新整理,61.7,8.72,61.5,53.8,⏳ 觀望,"⏳ 觀望中 (缺: 量能不足, RSI動能弱)"
00929,復華台灣科技優息,📈 月線上揚,20.01,5.46,61.1,72.2,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
009816,凱基台灣TOP50,🚀 多頭強勢,11.4,0.0,0.0,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
00990A,主動元大AI新經濟,🚀 多頭強勢,14.01,0.34,42.9,57.1,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2009,第一銅,📉 趨勢轉弱,40.5,-6.48,33.3,33.3,⚠️ 賣出,📢 趨勢轉向：跌破月線
2337,旺宏,📈 月線上揚,146.0,24.12,64.3,71.4,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
2352,佳世達,📈 月線上揚,24.05,1.18,25.0,25.0,⏳ 觀望,"⏳ 觀望中 (缺: 量能不足, RSI動能弱)"
2409,友達,🚀 多頭強勢,18.15,2.51,50.0,42.9,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3481,群創,📉 趨勢轉弱,26.0,12.9,35.7,57.1,⚠️ 賣出,📢 趨勢轉向：跌破月線
6136,富爾特,🚀 多頭強勢,24.25,0.0,0.0,0.0,⏳ 觀望,"⏳ 觀望中 (缺: 5日線未勾頭, 量能不足)"
6806,森崴能源,📉 趨勢轉弱,22.9,25.28,55.6,66.7,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
3105,穩懋,🚀 多頭強勢,464.0,11.43,66.7,66.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
4966,譜瑞-KY,📈 月線上揚,533.0,-6.81,0.0,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6188,廣明,📉 趨勢轉弱,87.5,0.9,40.0,40.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
7792,安葆,🚀 多頭強勢,359.0,55.84,65.0,65.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2327,國巨*,📈 月線上揚,285.0,1.94,53.8,69.2,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
