Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
00864B.TWO,中信美國公債0-1,2026-04-29,看漲 FVG,46.32,46.07,48.64,✅ 已站穩,🟢 買進,0,41.35,2026-05-04,1,False
00865B.TW,國泰US短期公債,2026-04-30,看漲 FVG,47.89,47.63,50.28,⏳ 待回測,💎鑽石結構,0,49.01,-,1,False
00980D.TWO,主動聯博投等入息,2026-04-27,看跌 FVG,20.4,20.52,19.38,❌ 已失效,實體過中線,1,45.31,-,1,False
1235.TW,興泰,2026-04-30,看跌 FVG,43.45,45.38,41.28,⏳ 待回測,💎鑽石結構 🧹,1,43.49,-,1,False
1271.TWO,晨暉生技,2026-04-30,看漲 FVG,63.6,60.89,66.78,❌ 已失效,實體破中線,1,58.44,-,1,False
1583.TW,程泰,2026-04-30,看跌 FVG,46.8,47.34,44.46,❌ 已失效,實體過中線,0,64.79,-,1,False
2397.TW,友通,2026-04-23,看跌 FVG,57.5,58.89,54.62,❌ 已失效,實體過中線,1,59.63,2026-04-29,1,False
5243.TW,乙盛-KY,2026-04-27,看跌 FVG,107.0,114.57,101.65,💰 已達標,獲利點,0,60.09,2026-04-29,1,False
6230.TW,尼得科超眾,2026-04-15,看漲 FVG,154.5,152.73,162.22,💰 已達標,獲利點,0,60.0,-,1,False
6547.TWO,高端疫苗,2026-04-14,看跌 FVG,52.2,53.26,49.59,💰 已達標,獲利點,0,44.93,-,1,False
6847.TWO,普瑞博,2026-04-29,看漲 FVG,55.5,50.94,58.28,💰 已達標,獲利點,1,59.86,-,1,False
6864.TWO,元樟生技,2026-04-22,看漲 FVG,59.8,57.71,62.79,✅ 已站穩,🟢 買進,0,44.53,2026-05-04,1,False
6912.TWO,益鈞環科*,2026-03-03,看漲 FVG,19.0,18.81,19.95,💰 已達標,獲利點,1,71.43,-,1,False
8444.TWO,綠河-KY,2026-04-30,看漲 FVG,6.0,5.66,6.3,✅ 已站穩,🟢 買進,1,49.24,2026-05-05,1,True
0050.TW,元大台灣50,2026-05-04,看漲 FVG,94.0,91.44,98.7,⏳ 待回測,⚡結構突破,0,83.82,-,2,False
006203.TW,元大MSCI台灣,2026-05-04,看漲 FVG,171.4,166.21,179.97,⏳ 待回測,⚡結構突破,0,83.31,-,2,False
006208.TW,富邦台50,2026-05-04,看漲 FVG,217.7,211.74,228.59,⏳ 待回測,⚡結構突破,0,87.89,-,2,False
00632R.TW,元大台灣50反1,2026-05-04,看跌 FVG,11.53,11.88,10.95,⏳ 待回測,⚡結構突破,0,17.45,-,2,False
00634R.TW,富邦上証反1,2026-05-04,看跌 FVG,3.08,3.11,2.93,⏳ 待回測,⚡結構突破,1,21.74,-,2,False
00638R.TW,元大滬深300反1,2026-05-04,看跌 FVG,6.62,6.68,6.29,⏳ 待回測,⚡結構突破,0,17.78,-,2,False
00646.TW,元大S&P500,2026-05-04,看漲 FVG,71.55,70.84,75.13,⏳ 待回測,⚡結構突破,0,94.79,-,2,False
00648R.TW,元大S&P500反1,2026-04-27,看跌 FVG,4.17,4.2,3.96,❌ 已失效,實體過中線,0,15.0,-,2,False
00662.TW,富邦NASDAQ,2026-05-04,看漲 FVG,112.4,110.94,118.02,⏳ 待回測,⚡結構突破,0,95.95,-,2,False
00664R.TW,國泰臺灣加權反1,2026-05-04,看跌 FVG,1.87,1.91,1.78,⏳ 待回測,⚡結構突破,0,20.41,-,2,False
00671R.TW,富邦NASDAQ反1,2026-05-04,看跌 FVG,2.62,2.64,2.49,⏳ 待回測,⚡結構突破,0,8.11,-,2,False
00676R.TW,富邦臺灣加權反1,2026-05-04,看跌 FVG,6.35,6.55,6.03,⏳ 待回測,⚡結構突破,1,16.33,-,2,False
00680L.TW,元大美債20正2,2026-05-04,看跌 FVG,6.87,6.92,6.53,⏳ 待回測,⚡結構突破,0,44.83,-,2,False
00686R.TW,群益臺灣加權反1,2026-05-04,看跌 FVG,1.15,1.17,1.09,⏳ 待回測,⚡結構突破,0,19.23,-,2,False
00688L.TW,國泰20年美債正2,2026-05-04,看跌 FVG,6.84,6.89,6.5,⏳ 待回測,⚡結構突破,0,43.82,-,2,False
00693U.TW,期街口S&P黃豆,2026-05-04,看漲 FVG,22.71,22.32,23.85,⏳ 待回測,⚡結構突破,0,56.44,-,2,False
00696B.TWO,富邦美債20年,2026-04-27,看跌 FVG,29.01,29.22,27.56,❌ 已失效,實體過中線,0,34.03,-,2,False
00708L.TW,期元大S&P黃金正2,2026-04-29,看跌 FVG,93.25,96.43,88.59,⚠️ 壓力確認,🔴 放空,0,36.0,2026-05-04,2,False
00712.TW,復華富時不動產,2026-04-28,看漲 FVG,9.17,9.04,9.63,❌ 已失效,實體破中線,0,74.03,-,2,False
00724B.TWO,群益投資級金融債,2026-04-27,看跌 FVG,33.61,33.79,31.93,❌ 已失效,實體過中線,0,41.63,-,2,False
00725B.TWO,國泰投資級公司債,2026-04-27,看跌 FVG,34.87,35.12,33.13,❌ 已失效,實體過中線,0,40.33,-,2,False
00726B.TWO,國泰新興投等債,2026-04-23,看跌 FVG,33.06,33.57,31.41,⚠️ 壓力確認,🔴 放空,0,40.69,2026-04-27,2,False
00733.TW,富邦臺灣中小,2026-05-04,看漲 FVG,64.95,64.43,68.2,⏳ 待回測,⚡結構突破,0,68.62,-,2,False
00740B.TWO,富邦全球投等債,2026-04-27,看跌 FVG,38.53,38.86,36.6,❌ 已失效,實體過中線,0,40.26,-,2,False
00746B.TWO,富邦A級公司債,2026-04-27,看跌 FVG,35.52,35.74,33.74,❌ 已失效,實體過中線,0,39.33,-,2,False
00757.TW,統一FANG+,2026-05-04,看漲 FVG,122.65,121.49,128.78,⏳ 待回測,⚡結構突破,0,82.63,-,2,False
00761B.TWO,國泰A級公司債,2026-04-27,看跌 FVG,34.68,34.94,32.95,❌ 已失效,實體過中線,0,38.32,-,2,False
00770.TW,國泰北美科技,2026-05-04,看漲 FVG,60.35,59.25,63.37,⏳ 待回測,⚡結構突破,0,94.51,-,2,False
00772B.TWO,中信高評級公司債,2026-04-27,看跌 FVG,33.71,33.98,32.02,❌ 已失效,實體過中線,0,40.58,-,2,False
00867B.TWO,新光A-BBB電信債,2026-05-04,看跌 FVG,31.18,31.44,29.62,⏳ 待回測,⚡結構突破,0,42.65,-,2,False
00875.TW,國泰網路資安,2026-05-04,看漲 FVG,41.45,40.29,43.52,⏳ 待回測,⚡結構突破,1,81.36,-,2,False
00876.TW,元大全球5G,2026-05-04,看漲 FVG,78.0,74.77,81.9,⏳ 待回測,⚡結構突破,0,77.95,-,2,False
00878.TW,國泰永續高股息,2026-05-04,看漲 FVG,26.25,25.55,27.56,⏳ 待回測,⚡結構突破,0,89.05,-,2,False
00886.TWO,永豐美國科技,2026-05-04,看漲 FVG,40.1,39.36,42.11,⏳ 待回測,⚡結構突破,0,92.82,-,2,False
00887.TWO,永豐中國科技50大,2026-05-04,看漲 FVG,14.83,14.53,15.57,⏳ 待回測,⚡結構突破,0,89.35,-,2,False
