股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
2317,鴻海,🚀 多頭強勢,221.0,-6.68,37.5,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3702,大聯大,🚀 多頭強勢,101.5,33.73,59.1,72.7,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2485,兆赫,📉 趨勢轉弱,71.0,29.66,61.1,61.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2367,燿華,📉 趨勢轉弱,67.8,24.85,59.3,77.8,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
4142,國光生,⏳ 均線糾結,18.15,-0.05,30.0,30.0,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
0050,元大台灣50,🚀 多頭強勢,86.35,3.2,65.0,65.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
0056,元大高股息,🚀 多頭強勢,42.61,0.71,72.7,68.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
009816,凱基台灣TOP50,🚀 多頭強勢,12.42,0.0,100.0,100.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2009,第一銅,⏳ 均線糾結,39.5,-6.48,33.3,33.3,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2337,旺宏,📉 趨勢轉弱,134.5,24.12,64.3,71.4,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2352,佳世達,🚀 多頭強勢,26.0,1.18,25.0,25.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2409,友達,📈 月線上揚,18.55,4.28,57.9,52.6,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
3481,群創,📉 趨勢轉弱,25.6,6.06,35.7,57.1,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
6136,富爾特,🚀 多頭強勢,27.65,-0.2,100.0,100.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6806,森崴能源,📉 趨勢轉弱,26.85,25.28,55.6,66.7,⚠️ 賣出,📢 趨勢轉向：跌破月線
3105,穩懋,🚀 多頭強勢,600.0,11.43,73.1,73.1,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
4966,譜瑞-KY,🚀 多頭強勢,590.0,-6.81,0.0,25.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6188,廣明,⏳ 均線糾結,88.4,0.9,40.0,40.0,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
7792,安葆,🚀 多頭強勢,358.5,29.22,64.0,68.0,⏳ 觀望,⏳ 觀望中 (缺: 5日線未勾頭)
2327,國巨*,🚀 多頭強勢,315.5,1.94,53.3,73.3,⏳ 觀望,"⏳ 觀望中 (缺: 5日線未勾頭, 量能不足)"
3714,富采,🚀 多頭強勢,73.3,1.22,50.0,66.7,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
1802,台玻,🚀 多頭強勢,70.9,5.16,66.7,41.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1721,三晃,🚀 多頭強勢,27.25,-6.96,23.1,23.1,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
8104,錸寶,🚀 多頭強勢,37.2,-2.62,42.9,57.1,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
