====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260602 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 14.76      | 🚀 買進           |       +5.77% |      4 |    58.82% | [P:0.51] RSI:58.56|MACD:0.60|KD_Diff:4.40|BIAS_20:5.62
00401A.TW    | 主動摩根台灣鑫收   | 13.69      | ❄️ 空倉          |      +11.09% |      2 |    68.75% | [P:0.37] [⚠️降級預設] RSI:64.47|MACD:0.51|KD_Diff:2.71|D_Value:78.89
0050.TW      | 元大台灣50     | 105.70     | 🟢 持股           |      +37.84% |     23 |    51.04% | [P:0.63] Vol_Ratio:0.96|BIAS_20:7.56|MA_Slope:0.57|BB_Upper:0.52
0052.TW      | 富邦科技       | 62.70      | 🟢 持股           |      +33.25% |     13 |    57.29% | [P:0.54] MACD:2.64|D_Value:80.36|Vol_Ratio:1.05|BB_Upper:-0.06
0056.TW      | 元大高股息      | 52.80      | 🟢 持股           |      +23.30% |     15 |    60.42% | [P:0.59] KD_Diff:6.12|Vol_Ratio:1.12|BB_Upper:-1.16|MA_Bull:10.00
006201.TWO   | 元大富櫃50     | 49.55      | 🟢 持股           |      +67.42% |     29 |    55.21% | [P:0.59] Vol_Ratio:0.74|MA_Slope:0.45|BB_Upper:3.99|MA_Bull:10.00
006203.TW    | 元大MSCI台灣   | 191.90     | 🟢 持股           |      +31.54% |     31 |    54.17% | [P:0.51] KD_Diff:7.37|D_Value:84.62|Vol_Ratio:1.53|MA_Bull:10.00
006208.TW    | 富邦台50      | 244.55     | 🟢 持股           |      +33.57% |      9 |    58.62% | [P:0.64] MACD:11.57|D_Value:80.71|Vol_Ratio:0.68|BIAS_20:7.54
00631L.TW    | 元大台灣50正2   | 37.91      | 🟢 持股           |      +11.45% |      7 |    59.38% | [P:0.61] KD_Diff:6.66|BIAS_20:14.20|MA_Slope:1.04|BB_Upper:0.33
00632R.TW    | 元大台灣50反1   | 10.19      | ❄️ 空倉          |       +4.33% |      6 |    61.46% | [P:0.43] MACD:-0.53|D_Value:14.93|BIAS_20:-7.65|MA_Slope:-0.57
00633L.TW    | 富邦上証正2     | 54.60      | 💥 賣出           |       +6.93% |     13 |    48.96% | [P:0.49] MACD:0.71|KD_Diff:15.24|MA_Slope:0.24|BB_Upper:0.94
00634R.TW    | 富邦上証反1     | 2.99       | ❄️ 空倉          |       -3.13% |     12 |    47.92% | [P:0.40] KD_Diff:-15.85|D_Value:41.41|Vol_Ratio:0.21|MA_Slope:-0.15
00635U.TW    | 期元大S&P黃金   | 47.20      | 💥 賣出           |      +21.24% |     17 |    55.21% | [P:0.48] MACD:-0.65|D_Value:39.92|Vol_Ratio:0.60|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 22.56      | 💥 賣出           |       +3.50% |     11 |    46.88% | [P:0.49] MACD:0.29|KD_Diff:15.39|BIAS_20:3.83|BB_Upper:0.73
00638R.TW    | 元大滬深300反1  | 6.38       | ❄️ 空倉          |       -2.80% |      6 |    47.92% | [P:0.42] RSI:46.15|MACD:-0.07|KD_Diff:-14.91|D_Value:32.63
00640L.TW    | 富邦日本正2     | 100.30     | 🟢 持股           |       +6.52% |     27 |    47.92% | [P:0.59] RSI:48.91|D_Value:75.29|Vol_Ratio:1.06|BIAS_20:1.69
00641R.TW    | 富邦日本反1     | 3.89       | ❄️ 空倉          |       +3.09% |     24 |    59.38% | [P:0.39] RSI:50.79|KD_Diff:3.57|BIAS_20:-0.66|MA_Slope:-0.28
