pe,expansion,date,symbol,est_price,prev_rev_yoy,eps,rev_yoy,prev_eps_yoy,eps_yoy,prev_year,status,om,gm,prev_eps,price,name,advice
0.0,8049.11,2025-12,4916.TW,0.0,-8.85,1.77,0.89,254.55,8050.0,2025,🚀 利潤擴張,8.07%,18.73%,1.14,0.0,事欣科,⚪ 數據不足
4.960127652551835,6583.45,2025-12,3062.TW,94.05,23.87,0.68,16.55,1971.43,6600.0,2025,🚀 利潤擴張,-12.63%,1.56%,1.47,31.1000003815,建漢,💎 強力關注
0.8778761129469025,3625.39,2025-12,2547.TW,169.5,-15.18,2.85,-12.89,1150.0,3612.5,2025,🧐 疑業外收益,18.04%,47.97%,2.78,9.9200000763,日勝生,💎 強力關注
0.0,3471.78,2025-12,6649.TWO,0.0,158.06,1.4,128.22,1737.5,3600.0,2025,🚀 利潤擴張,N/A,N/A,1.31,0.0,台生材,⚪ 數據不足
102.24570673712022,3043.86,2025-12,3189.TW,113.55,26.89,3.51,28.87,221.54,3072.73,2025,🚀 利潤擴張,8.52%,22.14%,2.1,774.0,景碩,⚠️ 追價風險
0.0,2472.68,2025-12,5521.TW,0.0,36.66,0.52,27.32,3600.0,2500.0,2025,🚀 利潤擴張,N/A,N/A,0.37,0.0,工信,⚪ 數據不足
0.0,1569.15,2025-12,4523.TWO,0.0,15.97,22.26,-7.15,3177.63,1562.0,2025,🧐 疑業外收益,-91.14%,-8.90%,23.73,0.0,永彰,⚪ 數據不足
3.0324908370216606,1497.6999999999998,2025-12,1432.TW,83.1,4.99,6.03,4.63,-125.0,1502.33,2025,🔄 轉虧為盈,-28.70%,34.83%,-0.36,16.7999992371,大魯閣,💎 強力關注
0.0,1462.34,2025-12,4542.TWO,0.0,27.63,1.28,37.66,196.87,1500.0,2025,🚀 利潤擴張,7.09%,35.25%,0.95,0.0,科嶠,⚪ 數據不足
3.241623535821302,1307.4,2025-12,3708.TW,550.65,-27.3,35.57,-30.75,-71.04,1276.65,2025,🧐 疑業外收益,-95.04%,24.80%,0.53,119.0,上緯投控,💎 強力關注
0.0,1292.63,2025-12,4903.TWO,0.0,73.71,1.02,64.51,173.33,1357.14,2025,🚀 利潤擴張,-0.59%,9.90%,0.82,0.0,聯光通,⚪ 數據不足
35.73770491803278,1075.98,2025-12,1815.TWO,45.75000000000001,46.55,1.64,40.69,606.25,1116.67,2025,🚀 利潤擴張,12.18%,29.01%,0.81,109.0,富喬,⚠️ 追價風險
