Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
0050.TW,元大台灣50,2026-04-15,看漲 FVG,84.15,82.78,88.36,⏳ 待回測,⚡結構突破,0,73.38,-,2,False
0056.TW,元大高股息,2026-04-15,看漲 FVG,40.53,39.93,42.56,⏳ 待回測,⚡結構突破,0,69.42,-,2,False
00738U.TW,期元大道瓊白銀,2026-04-15,看漲 FVG,64.9,62.39,68.15,⏳ 待回測,⚡結構突破,0,68.51,-,2,False
00929.TW,復華台灣科技優息,2026-04-15,看漲 FVG,20.93,20.41,21.98,⏳ 待回測,⚡結構突破,1,68.23,-,2,False
009816.TW,凱基台灣TOP50,2026-04-15,看漲 FVG,11.89,11.62,12.48,⏳ 待回測,⚡結構突破,0,73.22,-,2,False
2317.TW,鴻海,2026-04-14,看漲 FVG,206.5,201.49,216.83,✅ 已站穩,🟢 買進,0,60.75,2026-04-16,2,False
2352.TW,佳世達,2026-04-15,看漲 FVG,25.0,24.33,26.25,⏳ 待回測,⚡結構突破,0,61.8,-,2,False
3702.TW,大聯大,2026-04-13,看漲 FVG,96.0,94.53,100.8,✅ 已站穩,🟢 買進,1,59.56,2026-04-16,2,False
7792.TWO,安葆,2026-04-08,看漲 FVG,341.0,314.92,358.05,💰 已達標,獲利點,1,63.6,-,2,False
00635U.TW,期元大S&P黃金,2026-04-15,看漲 FVG,50.65,50.05,53.18,⏳ 待回測,監控中,0,72.46,-,3,False
2009.TW,第一銅,2026-04-13,看漲 FVG,41.55,40.65,43.63,❌ 已失效,實體破中線,0,45.76,-,3,False
2485.TW,兆赫,2026-04-13,看漲 FVG,76.9,75.02,80.75,💰 已達標,獲利點,0,58.65,-,3,False
4142.TW,國光生,2026-04-15,看漲 FVG,18.65,18.41,19.58,⏳ 待回測,監控中,0,51.85,-,3,False
6136.TW,富爾特,2026-04-10,看漲 FVG,24.35,24.18,25.57,❌ 已失效,實體破中線,1,64.29,-,3,False
6188.TWO,廣明,2026-04-08,看漲 FVG,87.5,86.47,91.88,❌ 已失效,實體破中線,0,35.36,2026-04-10,3,False
00990A.TW,主動元大AI新經濟,2026-04-14,看漲 FVG,14.55,13.93,15.28,✅ 已站穩,🟢 買進,0,74.42,2026-04-16,4,False
2327.TW,國巨*,2026-04-14,看漲 FVG,316.5,309.44,332.32,✅ 已站穩,🟢 買進,1,76.34,2026-04-16,4,False
2367.TW,燿華,2026-03-16,看漲 FVG,75.6,73.43,79.38,❌ 已失效,實體破中線,0,70.47,2026-03-18,4,False
2409.TW,友達,2026-04-15,看漲 FVG,19.9,19.7,20.89,⏳ 待回測,⚡結構突破 ⚠️過熱,0,78.42,-,4,False
3105.TWO,穩懋,2026-04-10,看漲 FVG,458.0,451.23,480.9,❌ 已失效,實體破中線,0,69.66,2026-04-14,4,False
6806.TW,森崴能源,2026-04-15,看漲 FVG,21.85,18.51,22.94,⏳ 待回測,監控中 🧹 ⚠️過熱,1,17.38,-,4,False
