====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260722 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.88      | ❄️ 空倉          |      +11.17% |     14 |    55.77% | [P:0.40] RSI:36.86|MACD:-0.27|KD_Diff:10.82|BIAS_20:-2.43
00401A.TW    | 主動摩根台灣鑫收   | 13.20      | 🟢 持股           |      +11.09% |      9 |    58.82% | [P:0.63] RSI:41.42|MACD:-0.15|KD_Diff:10.04|BIAS_20:-0.76
00402A.TW    | 主動安聯美國科技   | 9.78       | 🟢 持股           |       +0.00% |      1 |    61.54% | [P:0.51] [⚠️降級預設] RSI:44.51|MACD:-0.06|KD_Diff:3.38|D_Value:34.96
00403A.TW    | 主動統一升級50   | 9.99       | 🟢 持股           |       +6.59% |      3 |    56.41% | [P:0.55] [⚠️降級預設] RSI:32.63|MACD:-0.23|KD_Diff:7.48|D_Value:26.89
00404A.TW    | 主動聯博動能50   | 9.60       | 🟢 持股           |       -0.10% |      3 |    53.85% | [P:0.53] [⚠️降級預設] RSI:35.29|MACD:-0.16|KD_Diff:8.90|D_Value:28.96
00405A.TW    | 主動富邦台灣龍耀   | 8.30       | 🟢 持股           |       +0.00% |      1 |    30.77% | [P:0.54] [⚠️降級預設] RSI:34.42|MACD:-0.35|KD_Diff:8.61|D_Value:27.28
0050.TW      | 元大台灣50     | 103.85     | ❄️ 空倉          |      +34.74% |     34 |    48.74% | [P:0.37] Vol_Ratio:0.51|BIAS_20:-1.48|MA_Slope:-0.16|BB_Upper:6.98
0052.TW      | 富邦科技       | 60.60      | ❄️ 空倉          |      +32.87% |     18 |    51.05% | [P:0.46] MACD:-0.27|D_Value:34.55|Vol_Ratio:0.67|BB_Upper:7.94
0056.TW      | 元大高股息      | 50.95      | 🚀 買進           |      +19.16% |     26 |    51.41% | [P:0.53] KD_Diff:3.43|Vol_Ratio:0.64|BB_Upper:7.15|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 25.23      | 🟢 持股           |      +11.03% |      9 |    51.77% | [P:0.53] [⚠️降級預設] RSI:52.36|MACD:-0.08|KD_Diff:12.60|D_Value:41.18
006201.TWO   | 元大富櫃50     | 43.55      | ❄️ 空倉          |      +66.83% |     42 |    50.08% | [P:0.36] Vol_Ratio:0.53|MA_Slope:-0.59|BB_Upper:16.82|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 190.00     | ❄️ 空倉          |      +29.82% |     44 |    51.10% | [P:0.46] KD_Diff:9.96|D_Value:35.92|Vol_Ratio:0.43|MA_Bull:0.00
006205.TW    | 富邦上証       | 41.58      | 🟢 持股           |       +2.34% |     11 |    51.93% | [P:0.54] [⚠️降級預設] RSI:52.17|MACD:-0.09|KD_Diff:13.79|D_Value:40.60
006208.TW    | 富邦台50      | 237.40     | ❄️ 空倉          |      +34.16% |     18 |    50.12% | [P:0.42] MACD:-1.61|D_Value:31.37|Vol_Ratio:0.55|BIAS_20:-2.36
00631L.TW    | 元大台灣50正2   | 34.80      | 🟢 持股           |      +10.24% |     17 |    50.21% | [P:0.55] KD_Diff:4.40|BIAS_20:-4.95|MA_Slope:-0.45|BB_Upper:17.08
00632R.TW    | 元大台灣50反1   | 10.39      | 🟢 持股           |       +4.08% |      9 |    57.11% | [P:0.54] MACD:0.03|D_Value:66.10|BIAS_20:1.60|MA_Slope:0.17
00633L.TW    | 富邦上証正2     | 51.05      | 🚀 買進           |       +3.99% |     22 |    49.36% | [P:0.54] MACD:-0.59|KD_Diff:11.56|MA_Slope:-0.13|BB_Upper:4.78
00634R.TW    | 富邦上証反1     | 3.06       | ❄️ 空倉          |      -10.97% |     22 |    52.66% | [P:0.38] KD_Diff:-12.21|D_Value:52.67|Vol_Ratio:0.59|MA_Slope:0.03
00635U.TW    | 期元大S&P黃金   | 42.99      | 💥 賣出           |      +29.06% |     27 |    51.70% | [P:0.48] MACD:-0.64|D_Value:37.57|Vol_Ratio:1.47|MA_Bull:0.00
00637L.TW    | 元大滬深300正2  | 21.37      | 🟢 持股           |       +2.35% |     19 |    50.02% | [P:0.50] MACD:-0.20|KD_Diff:12.48|BIAS_20:2.52|BB_Upper:3.91
00638R.TW    | 元大滬深300反1  | 6.56       | ❄️ 空倉          |       -3.54% |      8 |    53.10% | [P:0.38] RSI:42.74|MACD:0.03|KD_Diff:-12.69|D_Value:46.92
00639.TW     | 富邦深100     | 17.46      | 🟢 持股           |      +12.79% |     13 |    50.04% | [P:0.51] [⚠️降級預設] RSI:42.27|MACD:-0.24|KD_Diff:6.69|D_Value:29.34
00640L.TW    | 富邦日本正2     | 106.00     | ❄️ 空倉          |       +1.46% |     34 |    50.13% | [P:0.45] RSI:49.32|D_Value:47.58|Vol_Ratio:1.06|BIAS_20:1.27
00641R.TW    | 富邦日本反1     | 3.77       | ❄️ 空倉          |       +2.21% |     32 |    56.21% | [P:0.39] RSI:50.70|KD_Diff:-5.17|BIAS_20:-0.53|MA_Slope:-0.07
00642U.TW    | 期元大S&P石油   | 28.05      | 🟢 持股           |     +113.14% |     43 |    52.83% | [P:0.59] RSI:90.58|D_Value:90.32|Vol_Ratio:1.17|MA_Slope:0.89
00643.TW     | 群益深証中小     | 19.10      | 🟢 持股           |       +9.04% |      7 |    49.51% | [P:0.55] [⚠️降級預設] RSI:37.50|MACD:-0.28|KD_Diff:3.10|D_Value:27.51
00646.TW     | 元大S&P500   | 76.45      | ❄️ 空倉          |      +13.04% |     36 |    49.79% | [P:0.40] KD_Diff:-6.47|D_Value:66.64|BIAS_20:1.21|MA_Bull:0.00
00648R.TW    | 元大S&P500反1 | 4.03       | ❄️ 空倉          |       -0.69% |     12 |    57.84% | [P:0.45] MACD:-0.00|D_Value:59.39|BIAS_20:0.00|MA_Slope:-0.05
00650L.TW    | 復華香港正2     | 16.63      | ❄️ 空倉          |       +5.62% |     34 |    49.84% | [P:0.28] RSI:72.10|MACD:0.30|MA_Slope:0.68|MA_Bull:10.00
