est_price,prev_eps,date,om,advice,prev_eps_yoy,name,status,rev_yoy,prev_rev_yoy,prev_year,price,gm,pe,symbol,eps,eps_yoy,expansion
130.95000000000002,2.11,2026-03,N/A,⚪ 中性觀察,16.48,廣穎,🚀 利潤擴張,869.35,-3.19,2025,150.5,N/A,17.239404352806414,4973.TWO,7.46,24500.0,23630.65
25.199999999999996,1.13,2026-03,7.42%,⚪ 中性觀察,-44.61,圓展,🏰 高護城河,98.33,-3.05,2025,33.0499992371,56.66%,19.67261859351191,3669.TW,0.7,6900.0,6801.67
34.8,0.92,2026-03,N/A,⚠️ 追價風險,222.67,今國光,🚀 利潤擴張,1231.2,50.65,2025,79.0999984741,N/A,34.094826928491386,6209.TW,0.81,7900.0,6668.8
60.45,1.96,2026-03,-188.65%,✅ 穩健價值,590.0,立萬利,🏰 高護城河,2528.26,26.61,2025,57.7999992371,62.07%,14.34243157248139,3054.TW,1.41,7150.0,4621.74
55.95,0.05,2026-03,N/A,💎 強力關注,-73.68,和成,🚀 利潤擴張,273.9,-6.18,2025,24.0499992371,N/A,6.447720975093834,1810.TW,3.64,4133.33,3859.43
-48.45,-1.58,2026-03,-5.76%,⚪ 數據不足,-731.58,台塑,🔄 轉虧為盈,1606.45,-12.31,2025,66.5999984741,2.38%,0.0,1301.TW,0.51,5000.0,3393.55
12.3,0.38,2026-03,0.43%,✅ 穩健價值,660.0,欣厚-KY,🚀 利潤擴張,474.41,3.99,2025,13.1000003815,27.32%,15.975610221341462,4924.TWO,0.35,3400.0,2925.59
48.599999999999994,0.89,2026-03,N/A,⚠️ 追價風險,48.33,金山電,🚀 利潤擴張,564.36,9.79,2025,121.5,N/A,37.5,8042.TWO,2.17,3200.0,2635.64
96.44999999999999,3.0,2026-03,34.40%,💎 強力關注,0.0,統一證,🏰 高護城河,405.72,3.92,2025,52.0,82.96%,8.087091757387247,2855.TW,1.43,2960.0,2554.2799999999997
88.05,4.0,2026-03,13.87%,⚠️ 追價風險,120.99,穩懋,🚀 利潤擴張,667.05,-4.69,2025,450.5,31.80%,76.74616695059625,3105.TWO,1.26,3050.0,2382.95
274.05000000000007,4.11,2026-03,10.89%,💎 強力關注,41.38,新紡,🚀 利潤擴張,395.99,12.31,2025,68.3000030518,27.15%,3.738369077821565,1419.TW,9.37,2733.33,2337.34
9.150000000000002,0.22,2026-03,1.35%,⚠️ 追價風險,175.0,一詮,🚀 利潤擴張,726.37,10.09,2025,254.5,15.86%,417.2131147540983,2486.TW,0.29,2900.0,2173.63
34.800000000000004,0.72,2026-03,0.24%,💎 強力關注,110.31,虹光,🚀 利潤擴張,205.99,13.61,2025,18.2999992371,24.41%,7.887930705646551,2380.TW,0.4,1900.0,1694.01
2.849999999999999,0.07,2026-03,4.89%,⚠️ 追價風險,-92.39,嘉晶,🚀 利潤擴張,1769.87,-5.25,2025,100.5,11.81%,528.9473684210528,3016.TW,0.35,3400.0,1630.13
27.900000000000006,0.57,2026-03,2.06%,⚠️ 追價風險,35.71,南亞,🚀 利潤擴張,1383.79,0.12,2025,230.5,9.25%,123.92473118279568,1303.TW,1.8,2900.0,1516.21
18.599999999999998,0.15,2026-03,-12.67%,⚠️ 追價風險,275.0,映泰,🚀 利潤擴張,1031.36,-14.09,2025,46.7999992371,8.40%,37.741934868629045,2399.TW,1.48,2366.67,1335.3100000000002
7.65,0.15,2026-03,2.47%,⚠️ 追價風險,50.0,永純,🚀 利潤擴張,974.97,-4.5,2025,16.5,14.61%,32.35294117647059,4711.TWO,0.23,2200.0,1225.03
6.15,0.09,2026-03,18.72%,⚠️ 追價風險,250.0,中纖,🚀 利潤擴張,142.36,-0.24,2025,10.4499998093,41.46%,25.487804412926828,1718.TW,0.17,1300.0,1157.6399999999999
67.5,1.52,2026-03,-15.39%,⚪ 中性觀察,406.67,倚強科,🏰 高護城河,120.91,49.68,2025,93.3000030518,69.49%,20.73333401151111,3219.TWO,0.48,1275.0,1154.09
11.1,0.31,2026-03,N/A,⚠️ 追價風險,-17.95,邑昇,🚀 利潤擴張,536.39,9.81,2025,68.0999984741,N/A,92.02702496500001,5291.TWO,0.17,1600.0,1063.6100000000001
78.44999999999999,3.45,2026-03,43.45%,💎 強力關注,-6.25,星通,🏰 高護城河,117.67,4.27,2025,50.9000015259,68.55%,9.732313867284896,3025.TW,0.6,1100.0,982.33
