date,rev_yoy,gm,price,advice,prev_year,eps,symbol,expansion,prev_eps,est_price,name,eps_yoy,status,pe,prev_rev_yoy,prev_eps_yoy,om
2026-03,869.35,N/A,163.0,⚪ 中性觀察,2025,7.46,4973.TWO,23630.65,2.11,130.95000000000002,廣穎,24500.0,🚀 利潤擴張,18.671248568155782,-3.19,16.48,N/A
2026-03,98.33,56.66%,35.3499984741,⚪ 中性觀察,2025,0.7,3669.TW,6801.67,1.13,25.199999999999996,圓展,6900.0,🏰 高護城河,21.04166575839286,-3.05,-44.61,7.42%
2026-03,1231.2,N/A,82.8000030518,⚠️ 追價風險,2025,0.81,6209.TW,6668.8,0.92,34.8,今國光,7900.0,🚀 利潤擴張,35.68965648784483,50.65,222.67,N/A
2026-03,2528.26,62.07%,60.2999992371,✅ 穩健價值,2025,1.41,3054.TW,4621.74,1.96,60.45,立萬利,7150.0,🏰 高護城河,14.962778967022333,26.61,590.0,-188.65%
2026-03,273.9,N/A,26.2000007629,💎 強力關注,2025,3.64,1810.TW,3859.43,0.05,55.95,和成,4133.33,🚀 利潤擴張,7.024128890857909,-6.18,-73.68,N/A
2026-03,1606.45,2.38%,60.2000007629,⚪ 數據不足,2025,0.51,1301.TW,3393.55,-1.58,-48.45,台塑,5000.0,🔄 轉虧為盈,0.0,-12.31,-731.58,-5.76%
2026-03,474.41,27.32%,11.3999996185,✅ 穩健價值,2025,0.35,4924.TWO,2925.59,0.38,12.3,欣厚-KY,3400.0,🚀 利潤擴張,13.902438559146342,3.99,660.0,0.43%
2026-03,564.36,N/A,160.5,⚠️ 追價風險,2025,2.17,8042.TWO,2635.64,0.89,48.599999999999994,金山電,3200.0,🚀 利潤擴張,49.53703703703704,9.79,48.33,N/A
2026-03,405.72,82.96%,49.6500015259,💎 強力關注,2025,1.43,2855.TW,2554.2799999999997,3.0,96.44999999999999,統一證,2960.0,🏰 高護城河,7.721617655660965,3.92,0.0,34.40%
2026-03,667.05,31.80%,403.0,⚠️ 追價風險,2025,1.26,3105.TWO,2382.95,4.0,88.05,穩懋,3050.0,🚀 利潤擴張,68.6541737649063,-4.69,120.99,13.87%
2026-03,395.99,27.15%,66.1999969482,💎 強力關注,2025,9.37,1419.TW,2337.34,4.11,274.05000000000007,新紡,2733.33,🚀 利潤擴張,3.6234262150082093,12.31,41.38,10.89%
2026-03,726.37,15.86%,251.0,⚠️ 追價風險,2025,0.29,2486.TW,2173.63,0.22,9.150000000000002,一詮,2900.0,🚀 利潤擴張,411.4754098360655,10.09,175.0,1.35%
2026-03,205.99,24.41%,19.7000007629,💎 強力關注,2025,0.4,2380.TW,1694.01,0.72,34.800000000000004,虹光,1900.0,🚀 利潤擴張,8.491379639181034,13.61,110.31,0.24%
2026-03,1769.87,11.81%,133.5,⚠️ 追價風險,2025,0.35,3016.TW,1630.13,0.07,2.849999999999999,嘉晶,3400.0,🚀 利潤擴張,702.6315789473687,-5.25,-92.39,4.89%
2026-03,1383.79,9.25%,199.5,⚠️ 追價風險,2025,1.8,1303.TW,1516.21,0.57,27.900000000000006,南亞,2900.0,🚀 利潤擴張,107.25806451612901,0.12,35.71,2.06%
2026-03,1031.36,8.40%,44.0,⚠️ 追價風險,2025,1.48,2399.TW,1335.3100000000002,0.15,18.599999999999998,映泰,2366.67,🚀 利潤擴張,35.48387096774194,-14.09,275.0,-12.67%
2026-03,974.97,14.61%,16.7000007629,⚠️ 追價風險,2025,0.23,4711.TWO,1225.03,0.15,7.65,永純,2200.0,🚀 利潤擴張,32.74509953509804,-4.5,50.0,2.47%
2026-03,142.36,41.46%,14.3500003815,⚠️ 追價風險,2025,0.17,1718.TW,1157.6399999999999,0.09,6.15,中纖,1300.0,🚀 利潤擴張,35.0000009304878,-0.24,250.0,18.72%
2026-03,120.91,69.49%,79.6999969482,⚪ 中性觀察,2025,0.48,3219.TWO,1154.09,1.52,67.5,倚強科,1275.0,🏰 高護城河,17.71111043293333,49.68,406.67,-15.39%
