SID,Name,Price,Advice
2317,鴻海,207.5,[🚀 極強] 🚨 賣出
3702,大聯大,100.5,[🚀 極強] ⏳ 觀望
2485,兆赫,71.0,[📉 轉弱] 🚨 賣出
2367,燿華,65.6,[📉 轉弱] 🚨 賣出
4142,國光生,18.05,[📈 穩定] 🚨 賣出
0050,元大台灣50,84.55,[🚀 極強] ⏳ 觀望
0056,元大高股息,41.47,[🚀 極強] ⏳ 觀望
009816,凱基台灣TOP50,12.07,[🚀 極強] ⏳ 觀望
2009,第一銅,39.7,[📉 轉弱] 🚨 賣出
2337,旺宏,120.5,[📉 轉弱] 🚨 賣出
2352,佳世達,25.65,[🚀 極強] ⏳ 觀望
2409,友達,19.25,[📈 穩定] ⏳ 觀望
3481,群創,26.15,[📉 轉弱] ⏳ 觀望
6136,富爾特,24.5,[🚀 極強] ⏳ 觀望
6806,森崴能源,27.1,[📉 轉弱] 🚨 賣出
3105,穩懋,592.0,[🚀 極強] 🔥 買入
4966,譜瑞-KY,532.0,[🚀 極強] 🚨 賣出
6188,廣明,85.8,[📉 轉弱] 🚨 賣出
7792,安葆,359.5,[🚀 極強] ⏳ 觀望
2327,國巨*,319.5,[🚀 極強] ⏳ 觀望
3714,富采,77.4,[🚀 極強] ⏳ 觀望
1802,台玻,70.9,[🚀 極強] ⏳ 觀望
1721,三晃,22.55,[🚀 極強] 🔥 買入
8104,錸寶,38.7,[🚀 極強] ⏳ 觀望
