股號,名稱,結構,最新價,均損益%,隔日勝率%,5日勝率%,建議,原因
2317,鴻海,⏳ 均線糾結,206.0,-6.68,37.5,0.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
3702,大聯大,🚀 多頭強勢,98.8,33.73,60.0,70.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2485,兆赫,⏳ 均線糾結,77.7,29.66,61.1,61.1,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
2367,燿華,⏳ 均線糾結,68.5,24.85,59.3,77.8,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
4142,國光生,🚀 多頭強勢,18.5,-0.05,30.0,30.0,⏳ 觀望,⏳ 觀望中 (缺: RSI動能弱)
0050,元大台灣50,🚀 多頭強勢,84.15,3.2,63.2,63.2,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
0056,元大高股息,🚀 多頭強勢,40.98,0.71,71.4,66.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
009816,凱基台灣TOP50,🚀 多頭強勢,11.95,0.0,100.0,100.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
2009,第一銅,⏳ 均線糾結,40.5,-6.48,33.3,33.3,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2337,旺宏,📉 趨勢轉弱,131.0,24.12,64.3,71.4,⚠️ 賣出,🚨 嚴重破位：跌破雙線 (明日開盤賣)
2352,佳世達,🚀 多頭強勢,25.65,1.18,25.0,25.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
2409,友達,🚀 多頭強勢,19.85,2.51,50.0,50.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3481,群創,🔄 重新整理,25.9,12.9,35.7,57.1,⚠️ 賣出,⚠️ 短線轉弱：跌破10日線
6136,富爾特,🔄 重新整理,,-0.2,0.0,0.0,⏳ 觀望,"⏳ 觀望中 (缺: 價未站上月線, 5日線未勾頭, 量能不足, RSI動能弱)"
6806,森崴能源,🔄 重新整理,,25.28,55.6,66.7,⏳ 觀望,"⏳ 觀望中 (缺: 價未站上月線, 5日線未勾頭, 量能不足, RSI動能弱)"
3105,穩懋,🚀 多頭強勢,539.0,11.43,72.0,72.0,⏳ 觀望,⏳ 觀望中 (缺: 量能不足)
4966,譜瑞-KY,🚀 多頭強勢,546.0,-6.81,0.0,0.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
6188,廣明,🔄 重新整理,,0.9,40.0,40.0,⏳ 觀望,"⏳ 觀望中 (缺: 價未站上月線, 5日線未勾頭, 量能不足, RSI動能弱)"
7792,安葆,🔄 重新整理,,55.84,65.2,65.2,⏳ 觀望,"⏳ 觀望中 (缺: 價未站上月線, 5日線未勾頭, 量能不足, RSI動能弱)"
2327,國巨*,🚀 多頭強勢,316.5,1.94,53.8,69.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
3714,富采,🚀 多頭強勢,77.9,1.22,47.8,65.2,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1802,台玻,🚀 多頭強勢,74.2,5.16,60.0,30.0,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
1721,三晃,🚀 多頭強勢,20.5,-6.96,25.0,16.7,🔥 買入,🔥 符合全數攻擊條件 (明日開盤買)
8104,錸寶,🔄 重新整理,,-2.62,33.3,50.0,⏳ 觀望,"⏳ 觀望中 (缺: 價未站上月線, 5日線未勾頭, 量能不足, RSI動能弱)"
