股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
6285.TW,2026-01-20,130.0,2026-01-21,134.0,2026-02-09,190.0,41.79%,0.417910447761194,交易結束,6285.TW 啟��
6285.TW,2026-04-07,197.0,2026-04-08,212.0,持股中,231.0,8.96%,0.08962264150943396,續抱中,6285.TW 啟��
3576.TW,2026-01-13,9.78,2026-01-14,10.0,2026-01-23,10.35,3.50%,0.035000038149999926,交易結束,3576.TW 聯合再生
3576.TW,2026-02-03,12.3,2026-02-04,13.25,2026-03-10,21.35,61.13%,0.6113207835094339,交易結束,3576.TW 聯合再生
1528.TW,2026-01-15,25.8,2026-01-16,27.6,2026-01-28,28.8,4.35%,0.043478218804821014,交易結束,1528.TW 恩德
8150.TW,2026-01-07,53.2,2026-01-08,53.2,2026-01-29,66.0,24.06%,0.24060148596889344,交易結束,8150.TW 南茂
8150.TW,2026-02-26,71.5,2026-03-02,69.5,2026-03-05,61.0,-12.23%,-0.1223021582733813,交易結束,8150.TW 南茂
6456.TW,2026-03-02,52.5,2026-03-03,56.5,2026-03-24,61.6,9.03%,0.09026545971858403,交易結束,6456.TW GIS-KY
6278.TW,2026-04-10,104.0,2026-04-13,114.0,持股中,127.0,11.40%,0.11403508771929824,續抱中,6278.TW 台表科
4960.TW,2026-01-06,14.0,2026-01-07,14.25,2026-01-09,13.45,-5.61%,-0.05614036425964916,交易結束,4960.TW 誠美材
4960.TW,2026-02-04,14.55,2026-02-05,16.0,2026-02-10,13.7,-14.38%,-0.14375001191875003,交易結束,4960.TW 誠美材
4960.TW,2026-03-04,14.9,2026-03-05,15.75,2026-03-27,24.5,55.56%,0.5555555555555556,交易結束,4960.TW 誠美材
2484.TW,2026-01-13,23.0,2026-01-14,25.3,2026-02-02,27.05,6.92%,0.06916996256006974,交易結束,2484.TW 希華
2484.TW,2026-02-24,30.3,2026-02-25,31.25,2026-03-03,30.1,-3.68%,-0.03679998779200003,交易結束,2484.TW 希華
2484.TW,2026-03-27,30.9,2026-03-30,30.8,2026-03-31,28.8,-6.49%,-0.06493506654347281,交易結束,2484.TW 希華
2484.TW,2026-04-01,31.25,2026-04-02,32.0,2026-04-08,29.8,-6.88%,-0.06875002384062501,交易結束,2484.TW 希華
2484.TW,2026-04-10,31.75,2026-04-13,32.1,持股中,35.5,10.59%,0.10591905568604017,續抱中,2484.TW 希華
2495.TW,2026-01-07,33.3,2026-01-08,33.6,2026-01-12,32.2,-4.17%,-0.04166660043985318,交易結束,2495.TW 普安
2495.TW,2026-04-14,41.1,2026-04-15,41.1,持股中,41.1,0.00%,0.0,續抱中,2495.TW 普安
2399.TW,2026-01-02,27.3,2026-01-05,27.65,2026-01-07,25.6,-7.41%,-0.07414102225261487,交易結束,2399.TW 映泰
2399.TW,2026-01-12,27.05,2026-01-13,26.45,2026-01-19,25.9,-2.08%,-0.02079399351743901,交易結束,2399.TW 映泰
2399.TW,2026-01-20,27.2,2026-01-21,27.2,2026-01-28,26.35,-3.13%,-0.03125001314556493,交易結束,2399.TW 映泰
2399.TW,2026-03-03,25.15,2026-03-04,24.15,2026-03-05,23.55,-2.48%,-0.02484473668232994,交易結束,2399.TW 映泰
2399.TW,2026-03-11,24.35,2026-03-12,23.9,2026-03-27,28.85,20.71%,0.20711300594199206,交易結束,2399.TW 映泰
2399.TW,2026-04-08,37.95,2026-04-09,36.65,2026-04-14,33.7,-8.05%,-0.08049114980023356,交易結束,2399.TW 映泰
