股號,名稱,現價,隔日勝率,5日勝率,收益%,目前狀態,階段,交易次數,MA5,MA20趨勢,專業建議
0050,元大台灣50,84.15,50.8%,51.6%,243.44%,🚫 建議賣出,第 0 隻,5,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2382,廣達,323.0,43.6%,46.6%,105.04%,🍀 持股中,第 0 隻,11,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
3105,穩懋,539.0,47.0%,49.6%,101.13%,⚪ 觀望中,第 15 隻,0,▲,▲,🦴 魚尾階段：已進入第 3 隻泥鰍。依 CIS 心法，此階段風險較大，建議觀望。
4966,譜瑞-KY,546.0,42.9%,45.7%,-188.26%,🚫 建議賣出,第 0 隻,4,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
00635U,期元大S&P黃金,50.5,47.6%,48.5%,74.18%,🚫 建議賣出,第 0 隻,2,▲,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
00738U,期元大道瓊白銀,64.25,50.0%,51.2%,12.37%,⚪ 觀望中,第 0 隻,0,▲,▼,⚪ 待機：目前尚未出現符合「帶量突破 MA5」的進場訊號。
009816,凱基台灣TOP50,11.95,100.0%,0.0%,-0.58%,🍀 持股中,第 0 隻,3,▲,▲,🚀 趨勢中：第 0 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
2399,映泰,35.25,41.4%,47.7%,299.77%,🚫 建議賣出,第 3 隻,6,▲,▲,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2609,陽明,50.7,42.4%,48.5%,827.31%,🚫 建議賣出,第 1 隻,5,▼,▼,🛡️ 確認法離場：收盤連續兩日跌破 MA5，動能已失，請依紀律執行賣出。
2618,長榮航,35.3,37.7%,52.5%,7.33%,🍀 持股中,第 2 隻,6,▲,▼,🚀 趨勢中：第 2 隻泥鰍成長中。收盤守穩 MA5 續抱，不預設壓力點。
