Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
0050.TW,元大台灣50,2026-04-08,看漲 FVG,78.8,75.07,82.74,⏳ 待回測,⚡結構突破,0,56.27,-,2,False
0056.TW,元大高股息,2026-04-08,看漲 FVG,38.96,37.99,40.91,⏳ 待回測,⚡結構突破,0,49.12,-,2,False
00635U.TW,期元大S&P黃金,2026-04-08,看漲 FVG,49.53,49.08,52.01,⏳ 待回測,⚡結構突破,0,41.16,-,2,False
009816.TW,凱基台灣TOP50,2026-04-08,看漲 FVG,11.16,10.67,11.72,⏳ 待回測,⚡結構突破,1,56.7,-,2,False
00990A.TW,主動元大AI新經濟,2026-04-08,看漲 FVG,13.33,12.29,14.0,⏳ 待回測,⚡結構突破,1,61.71,-,2,False
2009.TW,第一銅,2026-03-23,看跌 FVG,41.3,41.71,39.23,⚠️ 壓力確認,🔴 放空,0,35.14,2026-03-26,2,False
2327.TW,國巨*,2026-04-08,看漲 FVG,273.0,255.72,286.65,⏳ 待回測,⚡結構突破,0,43.06,-,2,False
2409.TW,友達,2026-04-02,看漲 FVG,16.05,15.87,16.85,💰 已達標,獲利點,1,52.31,-,2,False
7792.TWO,安葆,2026-04-08,看漲 FVG,341.0,314.92,358.05,⏳ 待回測,⚡結構突破,1,63.6,-,2,False
00738U.TW,期元大道瓊白銀,2026-04-07,看漲 FVG,61.85,61.24,64.94,❌ 已失效,實體破中線,0,39.58,-,3,False
00929.TW,復華台灣科技優息,2026-04-08,看漲 FVG,19.61,18.97,20.59,⏳ 待回測,監控中,1,48.05,-,3,False
2317.TW,鴻海,2026-04-08,看漲 FVG,198.0,194.52,207.9,⏳ 待回測,監控中,0,41.18,-,3,False
2352.TW,佳世達,2026-04-08,看漲 FVG,23.55,23.38,24.73,⏳ 待回測,監控中,0,41.25,-,3,False
2485.TW,兆赫,2026-04-07,看跌 FVG,77.8,78.39,73.91,💰 已達標,獲利點,1,55.58,-,3,False
3702.TW,大聯大,2026-03-30,看跌 FVG,90.4,91.05,85.88,❌ 已失效,實體過中線,0,76.99,2026-04-01,3,False
4142.TW,國光生,2026-04-07,看跌 FVG,18.3,18.89,17.39,⏳ 待回測,監控中 🧹,0,61.29,-,3,False
6136.TW,富爾特,2026-03-24,看漲 FVG,24.1,23.88,25.31,⏳ 待回測,監控中,1,60.38,-,3,False
6188.TWO,廣明,2026-04-08,看漲 FVG,87.5,86.47,91.88,⏳ 待回測,監控中 🧹,0,35.36,-,3,False
2367.TW,燿華,2026-03-16,看漲 FVG,75.6,73.43,79.38,❌ 已失效,實體破中線,0,70.47,2026-03-18,4,False
3105.TWO,穩懋,2026-04-08,看漲 FVG,431.5,410.94,453.08,⏳ 待回測,⚡結構突破 ⚠️過熱,0,73.82,-,4,False
6806.TW,森崴能源,2026-04-08,看跌 FVG,25.4,31.46,24.13,⏳ 待回測,⚡結構突破 ⚠️過熱,1,14.47,-,4,False
