====================================================================================================
📊 全市場量子掃描明日盲測大盤觀測總表 (20260806 盤後計算適用)
====================================================================================================
股號          | 名稱          | 收盤       | 今日訊號       |      累積收益 |    次數 |       勝率 | 今日最佳特徵數值理由
----------------------------------------------------------------------------------------------------
00400A.TW    | 主動國泰動能高息   | 13.89      | ❄️ 空倉          |      +13.47% |     16 |    50.79% | [P:0.39] RSI:57.89|MACD:-0.24|KD_Diff:18.23|BIAS_20:3.96
00401A.TW    | 主動摩根台灣鑫收   | 13.39      | ❄️ 空倉          |       +8.67% |     10 |    56.45% | [P:0.46] RSI:59.82|MACD:-0.10|KD_Diff:16.38|BIAS_20:4.38
00402A.TW    | 主動安聯美國科技   | 9.77       | 💥 賣出           |       +0.00% |      1 |    45.83% | [P:0.44] [⚠️降級預設] RSI:56.97|MACD:-0.05|KD_Diff:16.59|D_Value:56.71
00403A.TW    | 主動統一升級50   | 9.91       | 💥 賣出           |       +6.59% |      3 |    56.00% | [P:0.46] [⚠️降級預設] RSI:54.96|MACD:-0.25|KD_Diff:19.66|D_Value:54.64
00404A.TW    | 主動聯博動能50   | 9.46       | ❄️ 空倉          |       -6.23% |      4 |    50.00% | [P:0.43] [⚠️降級預設] RSI:55.07|MACD:-0.16|KD_Diff:15.25|D_Value:59.69
00405A.TW    | 主動富邦台灣龍耀   | 8.25       | 💥 賣出           |       +0.00% |      1 |    41.67% | [P:0.46] [⚠️降級預設] RSI:55.92|MACD:-0.30|KD_Diff:19.51|D_Value:54.05
00406A.TW    | 主動中信台灣收益   | 9.35       | 💥 賣出           |       +0.00% |      1 |    52.63% | [P:0.46] [⚠️降級預設] RSI:56.68|MACD:-0.22|KD_Diff:18.51|D_Value:53.34
00407A.TW    | 主動凱基台灣     | 9.45       | ❄️ 空倉          |       +0.43% |      2 |    45.45% | [P:0.37] [⚠️降級預設] RSI:60.53|MACD:-0.15|KD_Diff:17.74|D_Value:60.67
0050.TW      | 元大台灣50     | 103.30     | 💥 賣出           |      +43.38% |     37 |    48.76% | [P:0.45] Vol_Ratio:0.46|BIAS_20:1.44|MA_Slope:-0.12|BB_Upper:5.82
0052.TW      | 富邦科技       | 60.45      | 🟢 持股           |      +19.45% |     21 |    50.99% | [P:0.51] MACD:-0.53|D_Value:60.03|Vol_Ratio:0.45|BB_Upper:6.18
0053.TW      | 元大電子       | 234.55     | ❄️ 空倉          |      +37.00% |     22 |    48.76% | [P:0.39] [⚠️降級預設] RSI:58.15|MACD:-2.18|KD_Diff:16.62|D_Value:61.02
0056.TW      | 元大高股息      | 51.30      | 🟢 持股           |       +6.27% |     29 |    51.32% | [P:0.61] KD_Diff:15.33|Vol_Ratio:0.45|BB_Upper:4.89|MA_Bull:0.00
0061.TW      | 元大寶滬深      | 24.77      | 💥 賣出           |       +9.53% |     11 |    51.78% | [P:0.49] [⚠️降級預設] RSI:58.12|MACD:-0.09|KD_Diff:9.27|D_Value:51.26
006201.TWO   | 元大富櫃50     | 43.66      | ❄️ 空倉          |      +71.26% |     46 |    50.10% | [P:0.41] Vol_Ratio:0.71|MA_Slope:-0.38|BB_Upper:10.46|MA_Bull:0.00
006203.TW    | 元大MSCI台灣   | 187.65     | ❄️ 空倉          |      +21.60% |     48 |    51.08% | [P:0.41] KD_Diff:15.67|D_Value:61.07|Vol_Ratio:0.31|MA_Bull:0.00
006205.TW    | 富邦上証       | 41.25      | 💥 賣出           |       +2.87% |     13 |    51.94% | [P:0.48] [⚠️降級預設] RSI:63.99|MACD:0.00|KD_Diff:5.19|D_Value:51.84
006208.TW    | 富邦台50      | 236.55     | 🟢 持股           |      +47.86% |     21 |    50.17% | [P:0.54] MACD:-2.19|D_Value:62.07|Vol_Ratio:0.99|BIAS_20:1.45
00631L.TW    | 元大台灣50正2   | 33.85      | 🟢 持股           |      +10.59% |     19 |    50.12% | [P:0.55] KD_Diff:16.24|BIAS_20:0.56|MA_Slope:-0.43|BB_Upper:14.57
00632R.TW    | 元大台灣50反1   | 10.33      | ❄️ 空倉          |       +3.77% |     12 |    57.06% | [P:0.36] MACD:0.05|D_Value:37.19|BIAS_20:-2.30|MA_Slope:0.06
00633L.TW    | 富邦上証正2     | 49.49      | 🟢 持股           |       -0.75% |     25 |    49.31% | [P:0.54] MACD:-0.45|KD_Diff:7.30|MA_Slope:-0.09|BB_Upper:5.20
00634R.TW    | 富邦上証反1     | 3.10       | ❄️ 空倉          |      -10.97% |     22 |    52.66% | [P:0.38] KD_Diff:-8.06|D_Value:46.49|Vol_Ratio:0.71|MA_Slope:0.00
00635U.TW    | 期元大S&P黃金   | 44.27      | 💥 賣出           |      +31.60% |     29 |    51.75% | [P:0.43] MACD:-0.09|D_Value:54.40|Vol_Ratio:2.53|MA_Bull:10.00
00637L.TW    | 元大滬深300正2  | 20.54      | 🟢 持股           |       -0.72% |     21 |    49.89% | [P:0.54] MACD:-0.17|KD_Diff:5.14|BIAS_20:-0.22|BB_Upper:5.64
00638R.TW    | 元大滬深300反1  | 6.65       | ❄️ 空倉          |       -3.54% |      8 |    53.07% | [P:0.37] RSI:36.36|MACD:0.02|KD_Diff:-9.02|D_Value:45.64
00639.TW     | 富邦深100     | 16.93      | 🟢 持股           |      +12.79% |     13 |    50.02% | [P:0.51] [⚠️降級預設] RSI:52.03|MACD:-0.28|KD_Diff:13.25|D_Value:47.26
00640L.TW    | 富邦日本正2     | 106.50     | 🚀 買進           |       +1.46% |     34 |    50.11% | [P:0.54] RSI:63.21|D_Value:57.91|Vol_Ratio:0.64|BIAS_20:2.62
00641R.TW    | 富邦日本反1     | 3.73       | ❄️ 空倉          |       +2.21% |     32 |    56.21% | [P:0.39] RSI:35.48|KD_Diff:-6.51|BIAS_20:-1.44|MA_Slope:-0.08
00642U.TW    | 期元大S&P石油   | 24.64      | ❄️ 空倉          |     +126.47% |     48 |    52.91% | [P:0.36] RSI:45.46|D_Value:21.72|Vol_Ratio:0.60|MA_Slope:0.07
00643.TW     | 群益深証中小     | 18.83      | 🟢 持股           |       +9.04% |      7 |    49.46% | [P:0.52] [⚠️降級預設] RSI:50.66|MACD:-0.35|KD_Diff:15.83|D_Value:44.79
00645.TW     | 富邦日本       | 57.30      | ❄️ 空倉          |       +7.01% |     16 |    49.73% | [P:0.41] [⚠️降級預設] RSI:62.90|MACD:0.08|KD_Diff:12.23|D_Value:58.32
00646.TW     | 元大S&P500   | 78.45      | ❄️ 空倉          |      +17.76% |     40 |    49.88% | [P:0.44] KD_Diff:12.99|D_Value:70.52|BIAS_20:2.71|MA_Bull:10.00
00648R.TW    | 元大S&P500反1 | 3.90       | ❄️ 空倉          |       -2.30% |     14 |    57.79% | [P:0.37] MACD:-0.02|D_Value:38.91|BIAS_20:-3.12|MA_Slope:-0.16
00650L.TW    | 復華香港正2     | 17.28      | 🚀 買進           |       +5.62% |     34 |    49.82% | [P:0.69] RSI:66.50|MACD:0.57|MA_Slope:0.57|MA_Bull:0.00
00651R.TW    | 復華香港反1     | 5.20       | 🟢 持股           |      +11.71% |     19 |    52.97% | [P:0.58] RSI:32.84|D_Value:26.50|BIAS_20:-1.48|MA_Slope:-0.29
00653L.TW    | 富邦印度正2     | 48.92      | ❄️ 空倉          |      +10.28% |     44 |    48.84% | [P:0.46] RSI:64.77|KD_Diff:8.30|Vol_Ratio:0.36|BB_Upper:0.64
00654R.TW    | 富邦印度反1     | 6.60       | ❄️ 空倉          |       +7.26% |     32 |    53.15% | [P:0.47] RSI:37.25|D_Value:22.09|BIAS_20:-2.04|MA_Slope:-0.16
00655L.TW    | 國泰中國A50正2  | 34.48      | ❄️ 空倉          |      +16.69% |     42 |    50.95% | [P:0.50] RSI:60.40|Vol_Ratio:0.56|MA_Slope:-0.08|MA_Bull:0.00
00656R.TW    | 國泰中國A50反1  | 5.84       | ❄️ 空倉          |       +3.33% |     12 |    53.94% | [P:0.35] RSI:34.09|D_Value:41.72|MA_Slope:-0.08|BB_Upper:3.90
00657K.TW    | 國泰日經225+U  | 24.18      | 🚀 買進           |      +34.83% |     42 |    50.09% | [P:0.51] RSI:58.28|KD_Diff:21.13|BIAS_20:1.98|MA_Bull:0.00
00660.TW     | 元大歐洲50     | 47.30      | ❄️ 空倉          |      +22.56% |     38 |    52.73% | [P:0.30] RSI:69.89|MACD:0.44|D_Value:84.18|MA_Bull:10.00
00662.TW     | 富邦NASDAQ   | 122.00     | ❄️ 空倉          |      +16.55% |     40 |    50.37% | [P:0.42] RSI:57.48|KD_Diff:17.62|MA_Slope:0.05|MA_Bull:0.00
00663L.TW    | 國泰臺灣加權正2   | 96.95      | ❄️ 空倉          |      +98.88% |     34 |    49.41% | [P:0.40] RSI:54.30|D_Value:55.45|Vol_Ratio:0.61|MA_Slope:-0.46
00664R.TW    | 國泰臺灣加權反1   | 1.67       | ❄️ 空倉          |       +0.00% |      2 |    59.20% | [P:0.40] RSI:43.86|MACD:0.01|D_Value:37.78|Vol_Ratio:0.66
00665L.TW    | 富邦�琤肭磪囓�2  | 9.58       | 🟢 持股           |       +3.99% |     29 |    53.30% | [P:0.52] RSI:66.92|MACD:0.30|Vol_Ratio:0.79|MA_Slope:0.58
00666R.TW    | 富邦�琤肭磪齯�1  | 9.04       | ❄️ 空倉          |       +9.14% |     18 |    53.59% | [P:0.28] RSI:32.35|D_Value:23.96|MA_Slope:-0.33|BB_Upper:6.98
00669R.TW    | 國泰美國道瓊反1   | 5.12       | ❄️ 空倉          |       -6.32% |     16 |    56.22% | [P:0.31] RSI:33.85|KD_Diff:-14.38|MA_Slope:-0.16|BB_Upper:6.11
00670L.TW    | 富邦NASDAQ正2 | 201.25     | ❄️ 空倉          |      +34.80% |     22 |    49.82% | [P:0.35] RSI:57.32|MACD:-2.36|KD_Diff:19.03|MA_Slope:-0.02
