📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2317.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -14.60%
3702.TW    | 次數: 1    | 勝率: 100.00% | 累計:   33.73%
2485.TW    | 次數: 2    | 勝率: 100.00% | 累計:   56.79%
2367.TW    | 次數: 3    | 勝率:  66.67% | 累計:   51.30%
4142.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -4.80%
0050.TW    | 次數: 2    | 勝率:  50.00% | 累計:    2.96%
0056.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -1.82%
2337.TW    | 次數: 1    | 勝率: 100.00% | 累計:   86.36%
2352.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -9.80%
2409.TW    | 次數: 3    | 勝率:  33.33% | 累計:    6.34%
3481.TW    | 次數: 2    | 勝率:  50.00% | 累計:   22.82%
6136.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -0.20%
3105.TWO   | 次數: 3    | 勝率:  66.67% | 累計:   85.05%
4966.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    1.13%
6188.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -4.29%
7792.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   58.44%
2327.TW    | 次數: 1    | 勝率: 100.00% | 累計:    6.72%
3714.TW    | 次數: 5    | 勝率:  60.00% | 累計:   49.21%
1802.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -2.44%
1721.TW    | 次數: 3    | 勝率:  33.33% | 累計:   17.48%
8104.TW    | 次數: 2    | 勝率:  50.00% | 累計:    2.15%
