Quantum AI Pro 分析報告 (20260317)
==============================================================================================================
        ID                            Name  Score    Price  Status WinRate                             Reason
  4973.TWO                              廣穎    5.5    81.20 🚀 極強勢攻擊   70.0%    趨勢強勁 / 【EPS連2成長 | 營收爆發(42.53%)】
   4770.TW                              上品    5.5   243.50 🚀 極強勢攻擊   36.4%    趨勢強勁 / 【EPS連2成長 | 營收爆發(51.15%)】
  4744.TWO                              皇將    5.5    35.80 🚀 極強勢攻擊   55.0%   趨勢強勁 / 【EPS連2成長 | 營收爆發(112.88%)】
   2353.TW                             宏��    5.5    27.45 🚀 極強勢攻擊   35.7%    趨勢強勁 / 【EPS連2成長 | 營收爆發(39.83%)】
  3663.TWO                              鑫科    5.5    71.80 🚀 極強勢攻擊   38.5%   趨勢強勁 / 【EPS連2成長 | 營收爆發(157.91%)】
   3036.TW                              文曄    5.0   249.50 🚀 極強勢攻擊   89.5%    趨勢強勁 / 【營收爆發(151.67%) | 董監持股增加】
  3093.TWO                             港建*    5.0    45.50 🚀 極強勢攻擊   63.2%      趨勢強勁 / 【營收爆發(90.8%) | 董監持股增加】
  8299.TWO                              群聯    4.5  1945.00 🚀 極強勢攻擊   36.8% 【EPS連2成長 | 營收爆發(169.43%) | 董監持股增加】
  5536.TWO                             聖暉*    4.5   667.00 🚀 極強勢攻擊   45.0%  【EPS連2成長 | 營收爆發(38.79%) | 董監持股增加】
  5386.TWO                              青雲    4.0   379.50 🚀 極強勢攻擊   80.0%            趨勢強勁 / 【營收爆發(1025.37%)】
  3066.TWO                              李洲    4.0    21.50 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(42.57%)】
  3555.TWO                             博士旺    4.0   186.00 🚀 極強勢攻擊   66.7%            趨勢強勁 / 【營收爆發(3727.37%)】
   2543.TW                              皇昌    4.0    71.60 🚀 極強勢攻擊   36.4%              趨勢強勁 / 【營收爆發(34.97%)】
  1294.TWO                            漢田生技    4.0    87.30 🚀 極強勢攻擊   21.4%             趨勢強勁 / 【營收爆發(117.94%)】
  6727.TWO                            亞泰金屬    4.0   293.00 🚀 極強勢攻擊   63.6%              趨勢強勁 / 【營收爆發(265.8%)】
   2425.TW                              承啟    4.0    31.10 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(43.93%)】
   1529.TW                            樂事綠能    4.0    29.15 🚀 極強勢攻擊   70.0%             趨勢強勁 / 【營收爆發(277.22%)】
  8472.TWO                             夠麻吉    4.0    82.10 🚀 極強勢攻擊   66.7%              趨勢強勁 / 【營收爆發(30.76%)】
   2010.TW                              春源    4.0    24.15 🚀 極強勢攻擊   53.3%              趨勢強勁 / 【營收爆發(30.29%)】
   2451.TW                              創見    4.0   285.00 🚀 極強勢攻擊   40.0%             趨勢強勁 / 【營收爆發(246.28%)】
  6637.TWO                              醫影    4.0    74.40 🚀 極強勢攻擊   55.6%             趨勢強勁 / 【營收爆發(196.31%)】
   2414.TW                              精技    4.0    44.10 🚀 極強勢攻擊   53.8%              趨勢強勁 / 【營收爆發(54.11%)】
   1256.TW                         鮮活果汁-KY    4.0   156.00 🚀 極強勢攻擊   27.3%              趨勢強勁 / 【營收爆發(87.61%)】
  7781.TWO                            昕力資*    4.0    22.15 🚀 極強勢攻擊   33.3%              趨勢強勁 / 【營收爆發(42.08%)】
  4721.TWO                             美琪瑪    4.0    71.00 🚀 極強勢攻擊    0.0%               趨勢強勁 / 【營收爆發(31.1%)】
  5351.TWO                              鈺創    4.0    77.10 🚀 極強勢攻擊   60.0%             趨勢強勁 / 【營收爆發(310.99%)】
  5205.TWO                              中茂    4.0    27.30 🚀 極強勢攻擊   50.0%             趨勢強勁 / 【營收爆發(204.44%)】
  5345.TWO                              馥鴻    4.0    22.50 🚀 極強勢攻擊    0.0%             趨勢強勁 / 【營收爆發(214.64%)】
   3706.TW                              神達    4.0    83.70 🚀 極強勢攻擊   50.0%              趨勢強勁 / 【營收爆發(34.35%)】
  6788.TWO                             華景電    4.0   350.00 🚀 極強勢攻擊   71.4%              趨勢強勁 / 【營收爆發(35.54%)】
   3702.TW                             大聯大    4.0    90.00 🚀 極強勢攻擊   68.8%              趨勢強勁 / 【營收爆發(44.57%)】
   6024.TW                             群益期    4.0    55.50 🚀 極強勢攻擊   57.1%             趨勢強勁 / 【營收爆發(152.89%)】
   8271.TW                              宇瞻    4.0   186.00 🚀 極強勢攻擊   68.8%             趨勢強勁 / 【營收爆發(193.82%)】
   8112.TW                              至上    4.0    91.50 🚀 極強勢攻擊   50.0%             趨勢強勁 / 【營收爆發(136.81%)】
   2597.TW                              潤弘    3.5   160.50  📈 多頭續攻   25.0%           【EPS連2成長 | 營收爆發(62.65%)】
  6643.TWO                             M31    3.5   467.00  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   2535.TW                             達欣工    3.5    73.40  📈 多頭續攻   42.9%           【EPS連2成長 | 營收爆發(188.6%)】
  3374.TWO                              精材    3.5   170.00  📈 多頭續攻   55.0%            【EPS連2成長 | 營收爆發(45.8%)】
   5484.TW                              慧友    3.5    39.90  📈 多頭續攻   50.0%          【EPS連2成長 | 營收爆發(137.98%)】
   3006.TW                             晶豪科    3.5   194.50  📈 多頭續攻   35.7%           【EPS連2成長 | 營收爆發(128.4%)】
  6435.TWO                              大中    3.5   167.50  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
   2059.TW                              川湖    3.5  3350.00  📈 多頭續攻   55.6%           【EPS連2成長 | 營收爆發(31.16%)】
  5289.TWO                              宜鼎    3.5  1165.00  📈 多頭續攻   66.7%          【EPS連2成長 | 營收爆發(403.21%)】
  6532.TWO                              瑞耘    3.5    68.80  📈 多頭續攻   50.0%                   趨勢強勁 / 【EPS連2成長】
  3163.TWO                             波若威    3.5   881.00  📈 多頭續攻   70.0%           【EPS連2成長 | 營收爆發(47.89%)】
   9917.TW                             中保科    3.5   113.50  📈 多頭續攻   66.7%                   趨勢強勁 / 【EPS連2成長】
  6465.TWO                              威潤    3.5    37.15  📈 多頭續攻   36.4%           【EPS連2成長 | 營收爆發(45.25%)】
   7610.TW                          聯友金屬-創    3.5   314.00  📈 多頭續攻   52.9%          【EPS連2成長 | 營收爆發(422.68%)】
  5340.TWO                              建榮    3.5   109.00  📈 多頭續攻   45.5%                   趨勢強勁 / 【EPS連2成長】
   6944.TW                            兆聯實業    3.5   785.00  📈 多頭續攻   55.6%           【EPS連2成長 | 營收爆發(51.58%)】
  5302.TWO                              太欣    3.5    12.30  📈 多頭續攻   50.0%           【EPS連2成長 | 營收爆發(69.18%)】
   6415.TW                          矽力*-KY    3.5   274.50  📈 多頭續攻   33.3%           【EPS連2成長 | 營收爆發(46.42%)】
   4148.TW                         全宇生技-KY    3.5    42.15  📈 多頭續攻    0.0%                   趨勢強勁 / 【EPS連2成長】
   6831.TW                              邁科    3.5   318.50  📈 多頭續攻   50.0%           【EPS連2成長 | 營收爆發(43.88%)】
   3443.TW                              創意    3.5  2290.00  📈 多頭續攻   55.0%           【EPS連2成長 | 營收爆發(60.15%)】
   1597.TW                              直得    3.5    80.00  📈 多頭續攻   50.0%           【EPS連2成長 | 營收爆發(39.89%)】
   8150.TW                              南茂    3.5    64.40  📈 多頭續攻   63.6%           【EPS連2成長 | 營收爆發(31.23%)】
   3535.TW                             晶彩科    3.5   124.50  📈 多頭續攻   53.3%         【EPS連2成長 | 營收爆發(9477.22%)】
  4806.TWO                            桂田文創    3.5    12.10  📈 多頭續攻   35.3%          【EPS連2成長 | 營收爆發(203.86%)】
   7786.TW                            東方風能    3.5   146.00  📈 多頭續攻   45.0%            【EPS連2成長 | 營收爆發(62.9%)】
   2204.TW                              中華    3.5    56.70  📈 多頭續攻   26.7%           【EPS連2成長 | 營收爆發(47.49%)】
   3530.TW                             晶相光    3.5    60.80  📈 多頭續攻   47.4%           【EPS連2成長 | 營收爆發(33.12%)】
  4123.TWO                              晟德    3.5    44.65  📈 多頭續攻   50.0%           【EPS連2成長 | 營收爆發(56.42%)】
   1525.TW                              江申    3.5    61.40  📈 多頭續攻    0.0%           【EPS連2成長 | 營收爆發(36.82%)】
   1514.TW                              亞力    3.5   117.50  📈 多頭續攻   66.7%           【EPS連2成長 | 營收爆發(68.91%)】
  7751.TWO                              竑騰    3.5  1425.00  📈 多頭續攻   66.7%           【EPS連2成長 | 營收爆發(80.57%)】
  6703.TWO                              軒郁    3.0   119.50  📈 多頭續攻   60.0%                    趨勢強勁 / 【董監持股增加】
  4538.TWO                             大詠城    3.0    18.90  📈 多頭續攻   65.0%           【營收爆發(122.75%) | 董監持股增加】
   2481.TW                              強茂    3.0   104.00  📈 多頭續攻   50.0%                    趨勢強勁 / 【董監持股增加】
  1593.TWO                              祺驊    3.0    33.40  📈 多頭續攻   36.4%                    趨勢強勁 / 【董監持股增加】
  2230.TWO                              泰茂    3.0    35.40  📈 多頭續攻   38.5%            【營收爆發(88.54%) | 董監持股增加】
  3147.TWO                              大綜    3.0   173.00  📈 多頭續攻   33.3%           【營收爆發(206.61%) | 董監持股增加】
