SID,Name,Price,Advice
2317,鴻海,206.0,🚨 賣出
3702,大聯大,98.8,⏳ 觀望
2485,兆赫,77.7,⏳ 觀望
2367,燿華,68.5,⏳ 觀望
4142,國光生,18.5,🚨 賣出
0050,元大台灣50,84.15,⏳ 觀望
0056,元大高股息,40.98,⏳ 觀望
00635U,期元大S&P黃金,50.5,🚨 賣出
00738U,期元大道瓊白銀,64.25,⏳ 觀望
00929,復華台灣科技優息,21.36,⏳ 觀望
009816,凱基台灣TOP50,11.95,⏳ 觀望
00990A,主動元大AI新經濟,14.76,⏳ 觀望
2009,第一銅,40.5,🚨 賣出
2337,旺宏,131.0,⏳ 觀望
2352,佳世達,25.65,🔥 買入
2409,友達,19.85,⏳ 觀望
3481,群創,25.9,⏳ 觀望
6136,富爾特,24.45,⏳ 觀望
6806,森崴能源,24.65,🚨 賣出
3105,穩懋,539.0,⏳ 觀望
4966,譜瑞-KY,546.0,🚨 賣出
6188,廣明,86.3,🚨 賣出
7792,安葆,369.0,⏳ 觀望
2327,國巨*,316.5,⏳ 觀望
3714,富采,77.9,⏳ 觀望
1802,台玻,74.2,⏳ 觀望
