📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2409.TW    | 次數: 2    | 勝率:  50.00% | 累計:   13.71%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
1309.TW    | 次數: 3    | 勝率:  66.67% | 累計:   42.54%
3037.TW    | 次數: 1    | 勝率: 100.00% | 累計:   38.94%
3714.TW    | 次數: 4    | 勝率:  50.00% | 累計:   16.18%
1305.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -8.17%
2481.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -15.54%
5243.TW    | 次數: 1    | 勝率: 100.00% | 累計:   22.12%
8039.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.52%
6168.TW    | 次數: 3    | 勝率:   0.00% | 累計:   -9.94%
3167.TW    | 次數: 3    | 勝率:   0.00% | 累計:  -15.21%
2426.TW    | 次數: 1    | 勝率: 100.00% | 累計:   59.40%
