rev_yoy,gm,om,prev_year,prev_rev_yoy,date,advice,prev_eps_yoy,name,eps,status,est_price,eps_yoy,pe,prev_eps,expansion,symbol,price
869.35,N/A,N/A,2025,-3.19,2026-03,⚠️ 追價風險,16.48,廣穎,7.46,🚀 利潤擴張,130.95000000000002,24500.0,22.164948453608247,2.11,23630.65,4973.TWO,193.5
98.33,56.66%,7.42%,2025,-3.05,2026-03,⚪ 中性觀察,-44.61,圓展,0.7,🏰 高護城河,25.199999999999996,6900.0,21.10119093029762,1.13,6801.67,3669.TW,35.4500007629
1231.2,N/A,N/A,2025,50.65,2026-03,⚠️ 追價風險,222.67,今國光,0.81,🚀 利潤擴張,34.8,7900.0,41.853447618146554,0.92,6668.8,6209.TW,97.0999984741
2528.26,62.07%,-188.65%,2025,26.61,2026-03,⚪ 中性觀察,590.0,立萬利,1.41,🏰 高護城河,60.45,7150.0,16.79900668689826,1.96,4621.74,3054.TW,67.6999969482
273.9,N/A,N/A,2025,-6.18,2026-03,💎 強力關注,-73.68,和成,3.64,🚀 利潤擴張,55.95,4133.33,5.335120541152815,0.05,3859.43,1810.TW,19.8999996185
1606.45,2.38%,-5.76%,2025,-12.31,2026-03,⚪ 數據不足,-731.58,台塑,0.51,🔄 轉虧為盈,-48.45,5000.0,0.0,-1.58,3393.55,1301.TW,51.7000007629
474.41,27.32%,0.43%,2025,3.99,2026-03,✅ 穩健價值,660.0,欣厚-KY,0.35,🚀 利潤擴張,12.3,3400.0,13.902438559146342,0.38,2925.59,4924.TWO,11.3999996185
564.36,N/A,N/A,2025,9.79,2026-03,⚠️ 追價風險,48.33,金山電,2.17,🚀 利潤擴張,48.599999999999994,3200.0,60.18518518518519,0.89,2635.64,8042.TWO,195.0
405.72,82.96%,34.40%,2025,3.92,2026-03,💎 強力關注,0.0,統一證,1.43,🏰 高護城河,96.44999999999999,2960.0,8.118196075101089,3.0,2554.2799999999997,2855.TW,52.2000007629
667.05,31.80%,13.87%,2025,-4.69,2026-03,⚠️ 追價風險,120.99,穩懋,1.26,🚀 利潤擴張,88.05,3050.0,89.94889267461669,4.0,2382.95,3105.TWO,528.0
395.99,27.15%,10.89%,2025,12.31,2026-03,💎 強力關注,41.38,新紡,9.37,🚀 利潤擴張,274.05000000000007,2733.33,3.6726873822714827,4.11,2337.34,1419.TW,67.0999984741
726.37,15.86%,1.35%,2025,10.09,2026-03,⚠️ 追價風險,175.0,一詮,0.29,🚀 利潤擴張,9.150000000000002,2900.0,453.2786885245901,0.22,2173.63,2486.TW,276.5
205.99,24.41%,0.24%,2025,13.61,2026-03,⚪ 數據不足,110.31,虹光,0.4,🚀 利潤擴張,0.0,1900.0,0.0,0.72,1694.01,2380.TW,0.0
1769.87,11.81%,4.89%,2025,-5.25,2026-03,⚠️ 追價風險,-92.39,嘉晶,0.35,🚀 利潤擴張,2.849999999999999,3400.0,665.7894736842107,0.07,1630.13,3016.TW,126.5
