# ==============================================================================
# 台灣股市 - 次世代半導體玻璃基板 (Glass Substrate / TGV) 關鍵技術供應鏈
# 更新日期: 2026-06-14
# ==============================================================================

# 一、 玻璃通孔 (TGV) 精密雷射加工與電漿清洗 (核心軍火商)
8027.TW  #  鈦昇, 全球首創E-Core玻璃基板大聯盟召集人/核心TGV雷射鑽孔技術與電漿清洗機
8064.TW  #  東捷, 大尺寸玻璃雷射切割/專利研發TGV製程後之微裂紋(Micro-crack)精密自動修補設備
5443.TW  #  均豪, 精密自動化光學貼合/引進頂級平面度控制技術解決大面積玻璃翹曲(Warpage)
6196.TW  #  帆宣, 半導體客製化機台代工/切入玻璃基板先進封裝整線自動化物流系統整合
6207.TWO  #  雷科, 2026年6月狂飆題材股/CoWoS檢測設備獲追單/自研TGV雷射鑽孔設備預計2027量產/短線波動大本益比高
3455.TWO  #  由田, 高階載板與玻璃基板RDL重佈線層/盲孔 3D AOI 缺陷量測絕對權威

# 二、 真空壓膜、高階熱製程與精密電鍍
2467.TW  #  志聖, G2C+聯盟龍頭/專攻玻璃基板ABF增層所需的「全自動真空壓膜機」與特殊烘烤熱製程
2482.TW  #  連宇, 先進封裝高階電鍍設備/負責玻璃通孔(TGV)內壁的超高密度微引腳銅填孔製程
3037.TW  #  欣興, 率先導入玻璃基板技術研發的高階載板廠/英特爾次世代架構核心台廠夥伴

# 三、 3D 高精度玻璃光學檢查 (AOI) 與量測檢測
3030.TW  #  德律, 開發出防折射3D玻璃專用AOI檢測平台/專攻AI機櫃超高密度背板與TGV通孔瑕疵抓漏
3455.TWO  #  由田, 高階載板自動光學缺陷檢測權威/布局玻璃基板重佈線層(RDL)精密盲孔量測
6515.TW  #  穎崴, 全球高階AI晶片測試座龍頭/支援玻璃基板高頻高速之晶圓級(CP)與最終測試(FT)
6683.TWO  #  雍智科技, 高階IC測試載板與探針卡IC設計/針對玻璃基板IC微細間距晶片測試盤

