# ==============================================================================
# 台灣股市 - 低軌道衛星 (LEO) 航太級與地面接收站核心關鍵技術供應鏈
# 更新日期: 2026-06-14
# ==============================================================================

# 一、 航太級與衛星本體核心射頻零組件 / 晶片封測
# 說明：負責衛星本體發射端與地面接收站的射頻前端(RFE)、微波元件與動態波束成型
6451.TW, 訊芯-KY, 布局次世代衛星光學星際鏈路(ISL)之高階光模組封裝
6271.TW, 同欣電, 陶瓷基板與高階封測技術/專攻低軌衛星航太級射頻高頻收發模組
3105.TWO, 穩懋, 全球砷化鎵(GaAs)晶圓代工龍頭/主攻低軌衛星高頻PA(功率放大器)

# 二、 地面接收站 (User Terminal) 相位陣列天線與微波通訊
# 說明：地面接收設備需透過數百個微型天線進行「電子轉向」追蹤衛星，對訊號穩定度要求極高
2314.TW, 台揚, 老牌微波通訊大廠/實質出貨SpaceX地面接收站(LNB)與天線陣列
6285.TW, 啟碁, 網通巨頭/通吃美系兩大衛星陣營之室內路由器與地面接收站終端模組
3491.TWO, 昇達科, 微波/毫米波通訊元件龍頭/衛星與地面站專用高階「濾波器」絕對主力
2345.TW, 智邦, 跨足低軌衛星用戶端網路用戶單元(Odu)與邊緣高速路由設備

# 三、 超高頻、低損耗材料與太空級 PCB 載板
# 說明：低軌衛星傳輸頻段極高(Ku/Ka頻段)，必須使用超低介電損耗(Low Loss)的特製多層板
2313.華通, 全球低軌衛星HDI主板絕對霸主/市佔率超高/通吃主要衛星營運商訂單
2383.TW, 台光電, 全球高階無鹵素CCL(銅箔基板)龍頭/提供低軌衛星專用超低損耗材料
6213.TW, 聯茂, 高階電信級/航太級超低損耗高速銅箔基板材料支援

# 四、 衛星電源管理、戶外高階航太級精密連接線束
3665.TW, 貿聯-KY, 獨家供應SpaceX地面接收站之戶外高規格耐氣候防水傳輸線束
2308.TW, 台達電, 提供低軌衛星地面主站與資料中心配套之高效率航太級電源管理系統
