# ==============================================================================
# 台灣股市 - 高速記憶體主體與周邊高階被動元件技術大聯盟股票清單
# 建立日期: 2026-05-27
# ==============================================================================

# ------------------------------------------------------------------------------
# 一、 核心記憶體 (Memory) 晶片製造、設計與模組大廠
# ------------------------------------------------------------------------------
# [記憶體晶片製造/IDM]
2408.TW, 南亞科, 台灣DRAM製造龍頭/主攻DDR5先進製程轉進
2344.TW, 華邦電, 利基型DRAM/開發AI邊緣運算客製化高頻寬記憶體
2337.TW, 旺宏, 全球NOR Flash與ROM非揮發性記憶體龍頭/車用工規利基

# [記憶體控制 IC 與設計]
3006.TW, 晶豪科, 邊緣運算物聯網利基型DRAM設計廠

# [記憶體模組與品牌整合]
3260.TWO, 威剛, 全球第二大記憶體模組廠/高階AI PC與電競DDR5記憶體條
4967.TWO, 十銓, 高階電競與伺服器記憶體模組/強攻工業級散熱儲存方案
8271.TW, 宇瞻, 工業電腦、自動化工廠與航太高階利基型記憶體模組
3264.TWO, 欣銓, 記憶體與車用安全晶片後段關鍵測試廠

# ------------------------------------------------------------------------------
# 二、 高速記憶體與 AI 晶片周邊高階被動元件 (電感、電容、電阻)
# ------------------------------------------------------------------------------
# [高階大電流電感 / TLVR 技術]
# 說明：解決高速記憶體與 GPU 瞬間大電流供電瓶頸、降低瞬態電壓驟降風險
3357.TW, 台慶科, 自研TLVR電感成功打入AI伺服器與次世代高階記憶體模組
2308.TW, 台達電, 旗下乾坤為全球微型電感龍頭/通吃蘋果與美系Edge AI高階電感
2456.TW, 奇力新, (已併入國巨)高階Molding Choke電感全面擴產

# [超低 ESR / 高容值 MLCC 多層陶瓷電容]
# 說明：配置於記憶體模組與晶片周邊，負責濾除高頻雜訊、穩定極低電壓傳輸
2327.TW, 國巨, 全球被動元件巨人/高階車用ASG與AI工規MLCC/市占率極高
2492.TW, 華新科, 高階記憶體模組(DRAM/SSD)專用微型MLCC與排阻核心供應商
3026.TW, 禾伸堂, 專攻高壓、高容、特殊工規MLCC/利基型市場毛利穩健

# [高精密低阻值電阻與特殊晶片基板]
# 說明：用於密集總線(Bus)的阻抗匹配，防範高速傳輸時的訊號串擾
2478.TW, 大毅, 精密晶片電阻與排阻/維持高速通訊總線訊號穩定
6127.TWO, 九豪, 被動元件晶片電阻之「精密陶瓷基板」大廠/上游關鍵材料

