📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2409.TW    | 次數: 2    | 勝率:  50.00% | 累計:   13.71%
4906.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -8.33%
6919.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -6.69%
6213.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -26.45%
6147.TWO   | 次數: 2    | 勝率: 100.00% | 累計:   10.73%
2419.TW    | 次數: 2    | 勝率: 100.00% | 累計:   16.85%
3221.TWO   | 次數: 5    | 勝率:  20.00% | 累計:  -29.73%
3711.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -4.05%
3062.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -1.96%
8046.TW    | 次數: 3    | 勝率:  33.33% | 累計:   18.98%
2337.TW    | 次數: 1    | 勝率: 100.00% | 累計:   86.36%
3714.TW    | 次數: 4    | 勝率:  50.00% | 累計:   16.18%
6274.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -0.39%
5243.TW    | 次數: 1    | 勝率: 100.00% | 累計:   16.69%
1582.TW    | 次數: 2    | 勝率:  50.00% | 累計:    8.95%
2484.TW    | 次數: 3    | 勝率:  33.33% | 累計:   -3.26%
