股票代碼,訊號日期,訊號收盤,買入日期,買入價格,賣出日期,賣出價格,獲利%,raw_pnl,狀態,股票標的
2337.TW,2026-01-02,43.35,2026-01-05,47.65,2026-02-09,88.8,86.36%,0.8635886717345236,交易結束,2337.TW 旺宏
6182.TWO,2026-01-07,34.95,2026-01-08,35.1,2026-01-28,39.45,12.39%,0.12393169452727555,交易結束,6182.TWO 合晶
2312.TW,2026-01-07,23.85,2026-01-08,23.95,2026-01-09,22.7,-5.22%,-0.05219206514332666,交易結束,2312.TW 金寶
2312.TW,2026-01-12,25.05,2026-01-13,26.1,2026-01-23,28.55,9.39%,0.09386968658194311,交易結束,2312.TW 金寶
8150.TW,2026-01-07,53.2,2026-01-08,53.2,2026-01-29,66.0,24.06%,0.24060148596889344,交易結束,8150.TW 南茂
8150.TW,2026-02-26,71.5,2026-03-02,69.5,2026-03-05,61.0,-12.23%,-0.1223021582733813,交易結束,8150.TW 南茂
8150.TW,2026-04-15,67.0,2026-04-16,69.2,持股中,68.0,-1.73%,-0.01734099712602963,續抱中,8150.TW 南茂
5498.TWO,2026-01-16,70.0,2026-01-19,71.5,2026-01-26,62.0,-13.29%,-0.13286713286713286,交易結束,5498.TWO 凱崴
5498.TWO,2026-04-16,69.3,2026-04-17,70.3,持股中,77.6,10.38%,0.1038406131635735,續抱中,5498.TWO 凱崴
3189.TW,2026-01-16,192.5,2026-01-19,190.94,2026-03-05,308.0,61.31%,0.6130949655277442,交易結束,3189.TW 景碩
3189.TW,2026-03-16,337.0,2026-03-17,342.5,2026-03-25,333.5,-2.63%,-0.026277372262773723,交易結束,3189.TW 景碩
3189.TW,2026-04-08,394.0,2026-04-09,393.0,2026-04-14,375.0,-4.58%,-0.04580152671755725,交易結束,3189.TW 景碩
3260.TWO,2026-01-23,304.32,2026-01-26,333.83,2026-02-04,297.54,-10.87%,-0.10869567257557824,交易結束,3260.TWO 威剛
2436.TW,2026-01-29,54.8,2026-01-30,54.9,2026-02-03,50.5,-8.01%,-0.08014574505656848,交易結束,2436.TW 偉詮電
2436.TW,2026-02-09,56.8,2026-02-10,57.0,2026-03-04,57.2,0.35%,0.0035087853140350297,交易結束,2436.TW 偉詮電
2436.TW,2026-03-16,63.0,2026-03-17,64.0,2026-03-25,63.5,-0.78%,-0.0078125,交易結束,2436.TW 偉詮電
8028.TW,2026-01-02,186.5,2026-01-05,190.0,2026-01-14,186.5,-1.84%,-0.018421052631578946,交易結束,8028.TW 昇陽半導體
8028.TW,2026-02-26,188.0,2026-03-02,181.0,2026-03-05,176.0,-2.76%,-0.027624309392265192,交易結束,8028.TW 昇陽半導體
8028.TW,2026-03-18,197.0,2026-03-19,191.5,2026-03-24,186.5,-2.61%,-0.02610966057441253,交易結束,8028.TW 昇陽半導體
3221.TWO,2026-01-14,26.1,2026-01-15,28.2,2026-01-23,25.75,-8.69%,-0.08687945732693837,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-01-29,28.0,2026-01-30,28.75,2026-02-03,27.15,-5.57%,-0.05565218718260867,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-02-04,31.15,2026-02-05,30.05,2026-02-09,28.6,-4.83%,-0.04825287495547816,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-02-26,31.75,2026-03-02,31.5,2026-03-09,27.4,-13.02%,-0.13015874226984125,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-03-30,36.85,2026-03-31,35.9,2026-04-07,36.0,0.28%,0.0027854726977616976,交易結束,3221.TWO 台嘉碩
3221.TWO,2026-04-16,45.7,2026-04-17,45.55,持股中,51.8,13.72%,0.13721185740239134,續抱中,3221.TWO 台嘉碩
4960.TW,2026-01-06,14.0,2026-01-07,14.25,2026-01-09,13.45,-5.61%,-0.05614036425964916,交易結束,4960.TW 誠美材
4960.TW,2026-02-04,14.55,2026-02-05,16.0,2026-02-10,13.7,-14.38%,-0.14375001191875003,交易結束,4960.TW 誠美材
4960.TW,2026-03-04,14.9,2026-03-05,15.75,2026-03-27,24.5,55.56%,0.5555555555555556,交易結束,4960.TW 誠美材
4960.TW,2026-04-15,28.05,2026-04-16,30.7,持股中,40.45,31.76%,0.31758956865507865,續抱中,4960.TW 誠美材
2454.TW,2026-01-02,1442.05,2026-01-05,1481.29,2026-01-12,1445.0,-2.45%,-0.02449578567125651,交易結束,2454.TW 聯發科
2454.TW,2026-01-23,1630.0,2026-01-26,1740.0,2026-02-09,1760.0,1.15%,0.011494252873563218,交易結束,2454.TW 聯發科
2454.TW,2026-04-16,1895.0,2026-04-17,1930.0,持股中,1930.0,0.00%,0.0,續抱中,2454.TW 聯發科
2399.TW,2026-01-02,27.3,2026-01-05,27.65,2026-01-07,25.6,-7.41%,-0.07414102225261487,交易結束,2399.TW 映泰
2399.TW,2026-01-12,27.05,2026-01-13,26.45,2026-01-19,25.9,-2.08%,-0.02079399351743901,交易結束,2399.TW 映泰
2399.TW,2026-01-20,27.2,2026-01-21,27.2,2026-01-28,26.35,-3.13%,-0.03125001314556493,交易結束,2399.TW 映泰
2399.TW,2026-03-03,25.15,2026-03-04,24.15,2026-03-05,23.55,-2.48%,-0.02484473668232994,交易結束,2399.TW 映泰
2399.TW,2026-03-11,24.35,2026-03-12,23.9,2026-03-27,28.85,20.71%,0.20711300594199206,交易結束,2399.TW 映泰
2399.TW,2026-04-08,37.95,2026-04-09,36.65,2026-04-14,33.7,-8.05%,-0.08049114980023356,交易結束,2399.TW 映泰
3264.TWO,2026-01-19,154.5,2026-01-20,143.0,2026-02-03,158.5,10.84%,0.10839160839160839,交易結束,3264.TWO 欣銓
6153.TW,2026-04-17,18.75,2026-04-20,19.4,持股中,19.0,-2.06%,-0.020618537441544987,續抱中,6153.TW 嘉聯益
2388.TW,2026-03-20,55.3,2026-03-23,54.4,2026-03-31,51.7,-4.96%,-0.04963236557474226,交易結束,2388.TW 威盛
2388.TW,2026-04-15,62.4,2026-04-16,62.4,持股中,69.0,10.58%,0.10576920372927515,續抱中,2388.TW 威盛
3376.TW,2026-01-12,234.0,2026-01-13,236.0,2026-01-15,218.0,-7.63%,-0.07627118644067797,交易結束,3376.TW 新日興
3376.TW,2026-01-20,234.5,2026-01-21,241.0,2026-01-23,226.0,-6.22%,-0.06224066390041494,交易結束,3376.TW 新日興
8271.TW,2026-01-07,119.5,2026-01-08,119.5,2026-01-22,125.0,4.60%,0.04602510460251046,交易結束,8271.TW 宇瞻
8271.TW,2026-03-16,190.5,2026-03-17,186.0,2026-03-24,170.0,-8.60%,-0.08602150537634409,交易結束,8271.TW 宇瞻
6205.TW,2026-03-24,62.0,2026-03-25,63.8,2026-03-27,55.0,-13.79%,-0.1379310241744135,交易結束,6205.TW 詮欣
6205.TW,2026-04-14,68.5,2026-04-15,70.0,持股中,82.0,17.14%,0.17142857142857143,續抱中,6205.TW 詮欣
4967.TW,2026-01-02,193.5,2026-01-05,210.0,2026-01-14,194.5,-7.38%,-0.07380952380952381,交易結束,4967.TW 十銓
4967.TW,2026-01-27,248.0,2026-01-28,253.5,2026-02-04,220.5,-13.02%,-0.1301775147928994,交易結束,4967.TW 十銓
4967.TW,2026-03-17,224.5,2026-03-18,240.0,2026-03-27,213.0,-11.25%,-0.1125,交易結束,4967.TW 十銓
1905.TW,2026-01-14,12.4,2026-01-15,12.5,2026-01-23,12.3,-1.60%,-0.01599998474399996,交易結束,1905.TW 華紙
1905.TW,2026-03-26,14.0,2026-03-27,14.65,2026-04-08,14.25,-2.73%,-0.027303728936271216,交易結束,1905.TW 華紙
